Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Armenian|Burpee Seed.||70 day maturity, long, thin, light green, inbred, 24' fruit length, snake (Armenian) cucumber, Cucumis melo var. flexuosus.||||
Armenian Yard Long||Nat. Seed Storage Lab.|monoecious, inbred, 60 day maturity, 36 x 4' fruit, white spined, light green, curved, ribbed, extra long fruit, snake (Armenian) cucumber, Cucumis melo var. flexuosus.||||
Serpent||Hollar.|7-8' fruit length, pale green, snake (Armenian) cucumber, Cucumis melo var. flexuosus.||||
