Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Monteverde|Enza Zaden.|Enza Zaden.|||North America. 1997.||open pollinated.
Savannah (Hybrid 2)|T. Sakata Company, Japan.|by Northrup King and Co.|F1 hybrid, thick leaves, very dark green color, fewer yellow leaves as crop matures, slower bolting than open pollinated cultivars; excellent for processing and home gardens.|Tendergreen.|wide. 1979.||
Tendergreen II|Abbott & Cobb.|Abbott & Cobb.|F1 hybrid, thick, dark green, glossy leaves, slower bolting than open pollinated. cultivars.||wide. 1979.||
