Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Baron (CA 65)|WECO.|Ellis.|large seeded, very beautiful brown when processed, seeds are fine, desirable golden color.|Puritan. 1984.|||
Puritan (CA 64)|WECO.|Ellis.|large seed, very white.|Wyen, except color.|southern European markets. 1985.||
