Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Bistro (RS 06489610)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|large seeded type, very uniform.|Grosse Graines.|NAFTA, U.S. 2003.|none claimed.|open pollinated.
Burpee Green|Burpee Seed Co.|Burpee Seed Co.|||U.S. 2003.||
