Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Dark Opal|Univ. of Connecticut, Storrs.||compact bush, 12-15 inches high; used as culinary herb or ornamental plant.|other purple basils.|same as other basils. Seed Trade News vol. 76, no. 20. 1962.||USDA, PI 182246 inbred.
Green Bouquet|W. Atlee Burpee Co.|W. Atlee Burpee Co.|open pollinated, dwarf bush plants with small dark green leaves; attractive as border.|Picollo.|wide. 1983.||
