Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Grenadier (B973-441)|New York Agric. Expt. Sta.|New York Agric. Expt. Sta.|open pollinated, short vines 14-17', long plump pods 4-4.5' with seven to ten large peas per pod; valuable for fall as well as spring crop.|Progress 9.|wide. 1981.|powdery mildew.|
Gypsy|A.G. Gustafson, Seedsman. PVP 7700011.|A.G. Gustafson, Seedsman. PVP 7700011.|||||
Hailey (XPF292)|Asgrow.|Asgrow.|second early maturity, medium yield, dark green color with sieve size smaller than Spring.|Epic, Misty. 1993.||fusarium wilt race 1, 2.|
Hardy|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.|early; small berried.|||fusarium wilt. 1947.|Kay x Perfection x 64.
Home Guard (Ottawa 30)|Agric. Canada Research Branch, Harrow, Ontario.|Agric. Canada Research Branch, Harrow, Ontario.|open pollinated, tall Progress 9 type; pods nine to ten cm long containing nine medium, dark green, huge peas; long bearing period.|Progress 9.|wide. 1980.|root rot, fusarium wilt.|Progress 9 as part of its pedigree.
Honey Pod (EP80281)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|open pollinated, round podded, thick walled, edible pod type that has double pods with 32' determinate vine; a perfection vine type, mid to late maturing.|Sugar Rae.|wide. PVP. 1983.|fusarium race 1.|includes Oregon Sugar pod.
Horizon (HP337-5-2)|P.Moser.|Rogers Brothers.|trial stage, 14-15 node double podded freezer.|Headliner. PVP.||fusarium wilt race 1, powdery mildew, pea leaf roll.|
HP071-2-5|Novartis Seeds, Inc. PVP 9500017.|Novartis Seeds, Inc. PVP 9500017.|||||
HP904-1204 FP2070|Novartis Seeds, Inc. PVP 9900430.|Novartis Seeds, Inc. PVP 9900430.|||||
HP1203-9-5|Novartis Seeds, Inc. PVP 9800252.|Novartis Seeds, Inc. PVP 9800252.|||||
HP1475-1-4-1|Novartis Seeds, Inc. PVP 200000023.|Novartis Seeds, Inc. PVP 200000023.|||||
HP1860-2-1|Novartis Seeds, Inc. PVP 200000024.|Novartis Seeds, Inc. PVP 200000024.|||||
Hurst Canice|Hurst, Gunson, Cooper, Taber, U.K. PVP 7200104 (ineligible).|Hurst, Gunson, Cooper, Taber, U.K. PVP 7200104 (ineligible).|||||
Hustler|Western Valley Seed Co. PVP 7400029.|Western Valley Seed Co. PVP 7400029.|||||
Hy Pak (Code 830)|Charter Seed Co.|Charter Seed Co.|hardy canner type producing medium size berries, dependable under stress.|Early Perfection.|general. 1969.||
Hyalite (102A)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|late season, high quality freezer.|Dark Skin Perfection.|all pea areas. 1947.|common pea mosaic, common wilt.|
Icebreaker (XP 8504158)||Seminis Vegetable Seeds-Asgrow.|early maturing (heat units: 624¬8C, 1155¬8F); first blooming node is 9 to 10; same maturity as Cabree; leafless (afila) type; low starch content (AIS); 1 to 2 pods per node; pods have blunt tip and 7 to 8 berries; sieve size 2.9 (8.65 mm) at 100 tenderometer; vine is 40 cm long.|Cabree, Spring.|NAFTA, processing. PVP application #200200196. 2002.|Fusarium wilt race 1.|open pollinated.
Igloo (501261)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|early determinate vine freezer, heavily double podded, relatively small sieve size berries.|Galaxie, Coronet.|where earliness and small vine are important. Rogers Brothers Seed Company Catalog, 1968.|fusarium wilt, tolerance to streak.|[(Victory Freezer x Famous) x Perfected Freezer] x Pluperfect.
Imperial-(24)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|midseason canner, vine height 34-36'. Pods borne doubly, sieve size averages 4.10.|Early Perfection types.|all pea areas. 1942.|common mosaic and common wilt.|
Improved Profusion|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|determinate Profusion with well filled pods.|Prince of Wales or Profusion.|midwestern United States. Rogers Catalog, 1945.|fusarium wilt.|(Manj x Famous) x Profusion.
Improved Surprise|W. Brotherton Seed Co.|W. Brotherton Seed Co.||Gregory Surprise. W. Brotherton Seed Company list. 1943.||fusarium, spotting.|selection from Surprise.
Ivy (XP F3007)|Asgrow Seed Co.|Asgrow Seed Co.|freezer, small sieve, two days later than Dark Skin Perfection.|Unique.|general. 1975.|fusarium race 1.|L11 x 61180.
Jade|Gallatin Valley Seed Company, Bozeman, Montana.|Gallatin Valley Seed Company, Bozeman, Montana.|determinate vine; early freezing pea; high quality; good yielder.||main pea growing areas. Canner and Freezer, 13 May 1957.|fusarium wilt.|
Jessy|W. Brotherton Seed Co.|W. Brotherton Seed Co.|determinate vine, main season maturity, stringless. 2001.||||
Jet (XP 77)|Asgrow Seed Co.|Asgrow Seed Co.|unusually dark berried, early maturing, short vined freezer.|Freezer 37.|general. 1966.|fusarium wilt.|
Juneau (XP DA14)|Asgrow Seed Co.|Asgrow Seed Co.|early, smooth seeded, bright green berry color, dwarf vine.|Alaska, but freezer berry color.|general. 1974.|fusarium wilt.|
Jupiter (C 82408)|Morris.|Rogers Brothers.|open pollinated, early and midseason, light green berry, canning pea cultivar with very small sieve size of peas.|Mini.|general, when specific diseases are not a problem. PVP. 1986.||
Kalamo (XPF274)|Asgrow.|Asgrow.|midseason maturity afila, smaller sieve than Bolero, good plant type, yield.|Trek and Novella 2. 1993.||fusarium wilt race 1, powdery mildew; tolerance to LBRV.|
Karisma (XPF214)|Asgrow.|Asgrow.|late afila freezer.|Dual. PVP. 1990.||fusarium wilt race 1, powdery mildew.|
Karl-Evert|NESTEC S.A. PVP 9000199 (8/31/94).|NESTEC S.A. PVP 9000199 (8/31/94).|||||
Kicker (23152)|Rene Beussen.|Seminis-Royal Sluis.|snow pea, dark green pods 4.5' long, 1' wide, pod has sweet tender texture, excellent for fresh market.|Mammoth Melting.|California. 2000.||open pollinated.
Klos (XPC101)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, late canner, medium to large sieve.|Trojan and Nugget. PVP 8000114. 1982.||fusarium race 1.|
Kodiak|Pure Line Seeds, Inc. PVP 7700023 (6/7/94).|Pure Line Seeds, Inc. PVP 7700023 (6/7/94).|||||
Kosta|A.G. Gustafson, Seedsman. PVP 7900049 (7/26/96).|A.G. Gustafson, Seedsman. PVP 7900049 (7/26/96).|||||
Krilla (XPC113)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, second-early, small sieve, smooth-seeded canner with afila plant type.|||fusarium race 1 and near wilt race 2. PVP. 1983.|
Kriter (XP C63)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, early, smooth very small sieve, canner; high pod: vine ratio.|Aldot.|northern Europe and the United States (Idaho and Wisconsin). PVP 7700010. 1977.|fusarium wilt race 1.|
Lance|Crites-Moscow Growers, Inc. PVP 7900011 (3/29/96).|Crites-Moscow Growers, Inc. PVP 7900011 (3/29/96).|||||
Lark (XP-ES 18)|Asgrow Seed Co.|Asgrow Seed Co.|early maturing, determinate vined, canning cultivar.|Laurel.|general. 1965.|fusarium wilt.|
Laser (XPF239)|Asgrow.|Asgrow.|very high yield, high quality, nice sieve size.|Bolero. 1992.||fusarium wilt race 1, powdery mildew.|
Laurel|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.|extra early Perfection type; dwarf plant.|Perfection. 1948.||fusarium wilt.|Perfection x Profusion.
Laxton 7|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.||Thomas Laxton. 1952.||wilt.|Thomas Laxton (Profusion x Thomas Laxton).
Laxton 8|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|productive Laxton type.|Thomas Laxton. Asgrow Desc. Catalog 18. 1954.||fusarium wilt.|
Leah|Seminis Vegetable Seeds. PVP 8500133 (2/28/86).|Seminis Vegetable Seeds. PVP 8500133 (2/28/86).|||||
Legacy|Pure Line Seeds, Inc. PVP 9600147.|Pure Line Seeds, Inc. PVP 9600147.|||||
Lehi|General Foods Corp. PVP 7600030 (5/9/94).|General Foods Corp. PVP 7600030 (5/9/94).|||||
Leo|Morrison Brothers Seed Co. PVP 7400053 (11/20/91).|Morrison Brothers Seed Co. PVP 7400053 (11/20/91).|||||
Lil Mo (XP 368)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|European plant type, small leaves, strong stem, good standability, early relative maturity, small sieve size.|Sancho, Dusty, Span.|North America. PVP 9900162.|Fusarium wilt race 1 and 2.|
Little Marvel Improved (Large Podded Little Marvel)|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|earliness; production; large pods.|Morse's Market. 1941.|||Little Marvel x Morse's Market.
Lolo|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.|hardy, small berried; heat tolerant.|Early Sweet. 1941.||fusarium wilt.|Early Harvest x Pride.
Lotus (XP F66)|Asgrow Seed Company open pollinated.|Asgrow Seed Company open pollinated.|early, midseason freezer, medium sieve with high yield potential.|Venus, Corner, Frosty, and Galaxy.|wide. PVP 7700072. 1977.|fusarium wilt race 1.|
Louisiana Bayou (Green Bayou)|Louisiana State University, Baton Rouge.|Reuter and Corneli.||Creole.|southern States. Reuter Seed Cat. 1949.|fusarium wilt, cold.|Creole x Thomas Laxton.
Maestro|New York State Agric. Expt. Sta.|W. Atlee Burpee Co.|open pollinated, early Green Arrow type.|Unique.|wide. 1970.|powdery mildew, pea enation mosaic virus, bean yellow mosaic virus.|Achievement, Mohawk, and Miragreen, Progress 9.
Majestic (XPC 88)|Asgrow.|Asgrow.|large, smooth seeded canner pea.|Alaska. 1986.|||
Manoa Sugar B|Hawaii Agric. Expt. Sta., Honolulu, Hawaii.|Hawaii Agric. Expt. Sta., Honolulu, Hawaii.|pod similar to Dwarf Grey Sugar, vine taller, purple flowers in doubles, more heat tolerant than other cultivars.|Dwarf Grey Sugar.|wide. Hawaii Farm Science Vol. 7, Number 1, 1958.|powdery mildew and fusarium.|(PI 185183 x local edible pod cultivar) x Taechung 9.
Manuet (XPC 134)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, full season, small sieve wrinkled canner pea.|Mini.|pea canning areas. 1984.|fusarium wilt races 1 and 2; moderate to pea roll virus.|
Marico|Hurst, Gunson, Cooper, Taber, U.K. PVP 7100108 (withdrawn).|Hurst, Gunson, Cooper, Taber, U.K. PVP 7100108 (withdrawn).|||||
Mariner (HP344-9-2)|P.Moser.|Rogers Brothers.|trial stage, 16-17 node, double podded freezer.|Headliner.||fusarium wilt race 1, powdery mildew, pea leaf roll, pea enation mosaic, red clover vein mosaic.|
Mars (XP 67)|Asgrow Seed Co.|Asgrow Seed Co.|midseason, medium vine, relatively large seeded freezer type.|Signet but shorter vine.|wide. Asgrow, What's New for 1969.|fusarium wilt race 1.|
Matisse (XPF 315)|Asgrow.||second early maturity long elegant fresh market pods.|Progress 9. 1995.||fusarium wilt race 1.|
Mayfair (B674-172)|New York State Agric. Expt. Sta., Cornell University.|Agway and Rogers Brothers Seed Co.|open pollinated, long, broad, blunt, well filled pods borne in doubles, seeds medium large, uniform vigorous seedlings becoming robust plants, prolific, intended for home garden and market use, medium late maturity, flowering at 15-16 nodes.|Ranger.|wide. 1982.|pea enation mosaic virus, bean mosaic, and powdery mildew.|
Mayflower|Department of Hort., University of New Hampshire, Durham.|Hepler Seed Co.|early dwarf plant with high quality wrinkled peas. New Hampshire Agric. Expt. Sta. Bul. 380:17, 1950. 1952.|Radio.|||Radio x Lincoln.
MC-201|L.D. Maffei Seed Co. PVP 8500097.|L.D. Maffei Seed Co. PVP 8500097.|||||
Medalist (Canner 303)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|midseason, determinate, medium to small sieve, canner type with high percentage of double pods.|Famous.|general. 1971.|fusarium wilt race 1 and 2; tolerance to streak virus.|[(Rogers Bros, early Canner Hybrid x Famous) x Perfected Freezer) x Pluperfect) x New Season].
Mega|Crites-Moscow Growers.|Crites-Moscow Growers.|medium vine, large pods, late maturity, stringy.|||PEV. 1994.|
Melody (Freezer-69-255)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|open pollinated, more uniform belly color and smaller sieve size than Aurora.|Aurora.|wide. 1974.|common wilt and powdery mildew, tolerance to pea enation mosaic virus and streak viruses.|derived from a cross involving Bartons B.
Mendota (AVX 323-26)|Sunseeds.|Sunseeds.|open pollinated, full season determinate canner, high yielding, excellent quality, determinate vine.|Canners seed 8221.|midwestern and northeastern United States. PVP.|powdery mildew.|
Menlo|W. Brotherton Seed Co. PVP 8700099.|W. Brotherton Seed Co. PVP 8700099.|||||
Menuet (XPC 134)|Asgrow.|Asgrow.|full-season, small-sieve wrinkled canner pea.|Mini. PVP. 1984.||fusarium wilt race 1, 2; moderate to pea leaf roll virus.|
Methow|Crites-Moscow Growers, Inc. PVP 9500021.|Crites-Moscow Growers, Inc. PVP 9500021.|||||
MF-502|L.D. Maffei Seed Co. PVP 8500087.|L.D. Maffei Seed Co. PVP 8500087.|||||
Micro (XPF224)|Asgrow.|Asgrow.|small sieve afila freezer.|Citadel. PVP. 1990.||fusarium wilt race 1.|
Midfreezer (Dark Wasatch)|Rogers Brothers Seed Company Idaho Falls, Idaho.|Rogers Brothers Seed Company Idaho Falls, Idaho.|mid-early freezer cultivar.|||fusarium wilt. Rogers Catalog, 1956.|Navajo x Miracle.
Midget (PS 1284-82-4)|WECO.|Ellis.|determinate plants, very upright, tiny pods, six-eight seeds/pod, 4400 seeds/pod, can be used as canner or freezer depending on production area.|Alsweet. PVP. 1983.||fusarium wilt race 1.|
Midway (107)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|high quality, small berry canner.|Perfection 326.|all pea areas. 1950.|common pea mosaic and common wilt.|
Mini (XP C 26)|Asgrow Seed Co.|Asgrow Seed Co.|late, semi-determinate, exceptionally small sieved, wrinkled pea of petite pois type.|no American cultivar.|general. PVP.|fusarium wilt race 2.|
Mini 93 (XP C93)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, small, average sieve size 1.6, full season, wrinkle seeded for canning.|Mini.|wide. PVP 7700020.|one or more races of wilt.|
Miragreen|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|slender, dark pods; small or medium sized, very dark green berries; exceptional pod fill. 1953.||||Miracle; a distinct cultivar.
Misty|Pure Line Seeds, Inc. PVP 8400031.|Pure Line Seeds, Inc. PVP 8400031.|||||
Mohawk (XP-E-17 or Geneva Line 3)|New York Agric. Expt. Sta., Geneva.|Asgrow Seed Co.|a short vined, early maturing, large berried freezing cultivar.|Sprite.|general. 1967.|fusarium wilt, pea enation mosaic virus and yellow bean mosaic virus.|selection from Geneva Line 3.
Morsels 55|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|dwarf plants, large podded market and home garden type.|Morse's 60.|California Coastal areas. Ferry-Morse Seed Company, 15 April 1963.||
Morsels 60|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|large podded dwarf plant, for market and home garden.|Giant Stride.|California Coastal areas. Ferry-Morse Seed Company, 15 April 1963.|fusarium wilt.|
Morse's Progress 9|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|early, dwarf vines; long, pointed pods; good fill of large, dark green berries.|Laxtons Progress.|wide. 1942.|common wilt.|Morse's Market x Laxtons Progress.
Mr. Big (XP 356)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|indeterminate vine 28', pointed pods 4.0-7.5' long, 8-10 berries/pod, 58 day maturity, usually 22 pods per node.|Progress #9.|home garden, U.S. PVP 9900161.|fusarium wilt race 1, 'er' powdery mildew.|
Multifreezer 102|W. Brotherton Seed Company, Moses Lake, Washington.||late freezer, more than two pods per peduncle.|Perfection.|wide, except susceptible to fusarium wilt. 1957.|top yellows.|
Multifreezer 410|W. Brotherton Seed Co.|W. Brotherton Seed Co.|determinate, multiple podded freezer, midseason.|Perfected Freezer.|fusarium wilt free areas. W. Brotherton Seed Company List, 1966.||
Multistar|W. Brotherton Seed Company, Inc. PVP 7900054 (ineligible).|W. Brotherton Seed Company, Inc. PVP 7900054 (ineligible).|||||
Neptune (H245-1-3)|Gallatin Valley Seed Company, Twin Falls, Idaho.|Gallatin Valley Seed Company, Twin Falls, Idaho.|high quality freezing type; produces three to four pods per node instead of the usual one or two; good color.||all pea areas. 1964.|common pea wilt; tolerance to powdery mildew.|
New Era|University of Wisconsin, Madison.|University of Wisconsin, Madison.|high yield potential, good canning quality.|Bonneville.|United States, Canada, Australia. Wisconsin Agric. Expt. Sta. Bul. 504. 1952.|wilt, near wilt, and bean virus mosaic.|Wisconsin Perfection x Delwiche Commando.
New Season|University of Wisconsin, Madison.||early maturity, small sieve size, excellent doubling.||wide. 1957.|wilt, near wilt, bean virus 2.|Loyalty x Delwiche Commando.
New Wales|University of Wisconsin, Madison.|University of Wisconsin, Madison.||Perfected Wales. 1957.|wide.|near wilt (fusarium oxysporum f. sp. pisi race 2), heart virus 2, and pea mosaic.|New Era x Perfected Wales.
Nitro (XP 317)|Jim McIntosh.|Seminis-Asgrow.|mid-season, normal foliage, small size, short determinate plant, earlier than Dinos, more determinate plant.|Dinos.|Canada. PVP 9900168. 2000.|bean yellow mosaic, fusarium wilt.|open pollinated.
Nomad (Freezer 74115)|Morris.|Rogers Brothers.|pods concentrated near the top one third to one quarter of the plant with some triple pods; about one sieve size smaller than Dark Skin Perfection.|Dark Skin Perfection.|general. PVP. 1986.|fusarium wilt race 1.|
Nordic|Novartis Seeds, Inc. PVP 8900107 7/31/91.|Novartis Seeds, Inc. PVP 8900107 7/31/91.|||||
Northstar (H955-13-2)|P.Moser.|Rogers Brothers.|trial status, 11 node double podded freezer cultivar with a determinate pod set.|Fridgit.||fusarium wilt race 1, pea leaf roll.|
Nova (SVC 140)|Stokely-Van Camp.|Stokely-Van Camp.|small to medium sieve, high yield, determinate, good quality, double podded, good color.|Alaska 28-57.|major Alaska producing areas of United States. 1966.|common wilt.|Alaska 28-57.
Novella (Freezer 76079)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|open pollinated, semi-leafless plants with stipules and tendrils but no leaflets (afila plant type).||wide. PVP. 1980.||New York State Agric. Expt. Sta. 960 leafless, New York State Agric. Expt. Sta. B68-1119 and commercial cultivars.
Now (XPF 137)|Asgrow.|Asgrow.|second early freezer with medium sieve size, excellent for maturity.|Spring. 1983.||fusarium wilt race 1.|
Nugget (XP 362)|Asgrow Seed Co.|Asgrow Seed Co.|a small sieve, high yielding, Early Perfection type for canning.|Early Perfection 326.|general. 1961.|fusarium wilt.|
NWR Hyalite (H256-3)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|Dark Skin Perfection type with multiple disease resistance.|Dark Skin Perfection.|all pea areas. 1962.|common pea mosaic, common wilt and near wilt.|
Olympia (B973-422)|New York State Agric. Expt. Sta., Cornell University.|Agway.|open pollinated, dwarf vine, 4-4.5' pods with nine peas per pod.|Progress 9.|northeastern United States. 1980.|pea enation mosaic virus, powdery mildew, and bean yellow mosaic virus.|
Olympic|W. Brotherton Seed Company, Moses Lake, Washington.||one day earlier and smaller sieve size than Dark Skin Perfection.|Dark Skin Perfection.|United States, Canada, and England. 1956.|fusarium wilt.|
Olympic A||W. Brotherton Seed Co.|smaller sieve than Dark Skin Perfection.||northwestern United States. W. Brotherton Seed Company List. 1956.|fusarium.|selection from Olympic.
Oneida|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|large pod, midseason, double podded, for garden and freezing.||wide. Seed World, 7 February 1947.|fusarium wilt.|Pride x Giant Hamper.
Opal (PS 1301)|WECO.|Ellis.|early canner, medium sieve, 13th mode, light green foliage, double and triple podded, excellent quality and production potential.|Canner Perfection 53 except one week earlier. PVP. 1984.||powdery mildew, fusarium wilt races 1, 2.|
Oracle|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|excellent quality and color.||western coast of the United States. 1949.||Onward x Miracle; a distinct cultivar.
Orcas|W. Brotherton Seed Company, Inc. PVP 8100047.|W. Brotherton Seed Company, Inc. PVP 8100047.|||||
Oregon 523 (OSU 523)|J.R.Baggett.|Oregon State University.|open pollinated; commercial freezing; a small sieve freezer.|Small Sieve Freezer.|commercial freezing, Pacific Northwest, especially the Willamette Valley of Oregon. 1985.|pea enation mosaic virus, fusarium wilt race 1.|
Oregon 605 (OSU 605)|J.R.Baggett.|Oregon State University.|freezing pea, medium dark green color, slightly earlier than Dark Skin Perfection.|Dark Skin Perfection. 1982.||pea enation mosaic virus, powdery mildew, common pea wilt, red clover.|
Oregon Giant (OSU 706)|J.R.Baggett.|Oregon State University.|large edible pod, wrinkled seed.|Oregon Sugarpod. 1991.||Pea enation mosaic virus, powdery mildew, fusarium wilt race 1.|
Oregon Pioneer (OSU 700)|J.R. Baggett.|Oregon State University.|long, straight, shelling-type pods on short, perfection-type plant; plant height 45-60 cm; pods 8.0-8.5 cm long with 8-9 seeds per pod; mild, sweet, non-bitter flavor.||Pacific Northwest and areas where PEMV is present. 1992.|PEMV (En) gene; field resistance to RCVMV.|Eureka // PI 140295 / Wando /3/ Small Sieve Freezer /4/ Early Frosty /3/ PI 140295 / Wando // P601.
Oregon Sugarpod (OSU S-158-1)|Oregon, Agric. Expt. Serv., Corvallis.|Oregon, Agric. Expt. Serv., Corvallis.|short sturdy plant with large edible pods, partially double podding.||northwestern United States and where pea enation mosaic virus is present. Oregon Vegetable Digest 20:2. 1971.|pea enation mosaic virus and streak virus and pea wilt.|[Wando x Geneva 168 (PI 140295) x P601 (Gallatin Valley Seed Company) x Dwarf Gray Sugar.
Oregon Sugarpod 2 (OSU 581)|J.R.Baggett.|Oregon State University.||Small Sieve Freezer. 1985.|commercial freezing.|pea enation mosaic virus, fusarium wilt race 1.|
Oregon Sugar Pod III (RS 08790490)|Seminis Vegetable Seeds.¬†|Seminis Vegetable Seeds.¬†|normal leaf type; plants 95 cm tall; pods are mid-green colored, blunt-tipped, 95 x 24 mm size; first pods at node 14, usually 2 pods per node, each with 8 smooth seeds.¬†|Green Goliath.¬†|NAFTA.¬† 2005.|Fusarium wilt (race 1); intermediate to powdery mildew.¬†|open pollinated.¬†
Oregon Trail (OSU695)|J.R.Baggett.|Oregon State.||Dark Skin Perfection. 1991.||pea enation mosaic virus, powdery mildew, fusarium.|
P-99 Large Canner|W. Brotherton Seed Company, Moses Lake, Washington.||late, large sieve, green seeded.|Perfected Wales.|wide.|fusarium wilt.|
Pacific Freezer|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|earliness; yield; dark berries.||general. 1954.|fusarium root rot.|Miracle x Large Podded Little Marvel.
Paladio (XPF293)|Asgrow.|Asgrow.|second early maturity, high yield for fresh market type.|Progress 9. 1993.||fusarium wilt race 1.|
Parlay (Freezer 72-244)|Rogers Brothers Seed Company.|Rogers Brothers Seed Company.|open pollinated; late multiple podded, three to five pods per node, freezing cultivar; high yield, good drought tolerant.|Puget.|wide. 1979.|fusarium wilt race 1; tolerance to powdery mildew.|
Paso|Seminis Vegetable Seeds. PVP 9900147.|Seminis Vegetable Seeds. PVP 9900147.|||||
Passport|Novartis Seeds, Inc. PVP 9400005.|Novartis Seeds, Inc. PVP 9400005.|||||
Patio (Freezer 73196)|Morris.|Rogers Brothers.|very short, dwarf vine cultivar with four-five double pods, very small sieve size, novelty type well suited to where space limited.|Lehi. 1983.|||
Patio Wonder (87015)|Jim Waltrip.|Seminis-Petoseed.|early, small sieve, exceptional yield.|Citadel.|wholesale and home garden U.S. 2000.|AB, bean yellow mosaic, fusarium wilt.|open pollinated.
Payload (XPC 135)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, early large sieve canner pea with high yield.|Dawn.|all pea areas. PVP 9400103. 1985.|fusarium wilt race 1, near wilt race 2.|
Perfect 57 (XP 8500577)|Jim McIntosh|Seminis-Asgrow.|late, large sieve processor, dark green berry, afila foliage.|Genie.|Pacific northwest, eastern Washington U.S. 2001.|fusarium wilt, powdery mildew.|open pollinated.
Perfected Freezer 68|W. Brotherton Seed Company, Moses Lake, Washington.||Perfection type freezer; good quality, two days earlier than Dark Skin Perfection.|Dark Skin Perfection.|wide. 1961.|pea enation mosaic virus and fusarium wilt.|
Perfected Freezer 68A (General 1)|W. Brotherton Seed Co.|W. Brotherton Seed Co.||Dark Skin Perfection.|Washington, Oregon, and New York. W. Brotherton Seed Company List. 1961.|fusarium and pea enation mosaic virus.|selection from Geneva 1.
Perfected Freezer 70A|W. Brotherton Seed Company, Moses Lake, Washington.||more doubles and uniformity than Dark Skin Perfection.|Dark Skin Perfection.|wide. 1963.|fusarium wilt.|selection from Dark Skin Perfection.
Perfected Freezer 71|W. Brotherton Seed Company, Moses Lake, Washington.||better frozen quality and one day later than Dark Skin Perfection.|Dark Skin Perfection.|United States, Europe, England, Canada. 1953.|fusarium wilt.|
Perfected Freezer 71A|W. Brotherton Seed Co.|W. Brotherton Seed Co.||||fusarium. W. Brotherton Seed Company List, 1953.|selection from Perfected Freezer 71.
Perfected Freezer 400 (Improved Dark Skin Perfection)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|set, shorter variant, two days earlier, shorter vine than Perfected Freezer.||general.|fusarium.|
Perfection 15|Pure Line Seeds.|Pure Line Seeds.|71 day maturity, pods double, 3.5', medium green and blunt; vines 28-30' tall, stocky, determinate growth, first bloom on 15th node.|W.R. Perfection.|universal. 1952.|fusarium wilt.|selection from W.R. Perfection.
Perfection K-3|W. Brotherton Seed Co.|W. Brotherton Seed Co.|early, high yield.|||fusarium. W. Brotherton Seed Company List. 1953.|selection from Perfection.
Perk (XPF 139)|Asgrow.|Asgrow.|an afila type freezer with good yield, midseason maturity, medium sieve size.|Puget. PVP. 1983.||fusarium wilt race 1.|
Petit-Freeze (4 x 132104)|Crites-Moscow, Moscow, Idaho.|Crites-Moscow, Moscow, Idaho.|extremely small berried; double podding and earliest season, 56 days.|other Alaska, except dark seeded.|general. 1964.|wilt.|
Piano (XPC270)|Asgrow.|Asgrow.|small sieve canner with good yield, medium maturity.|Kriter. 1992.|||
Pixie|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|small sieve size; dark vine; up to 50% double podded.|Alaska.|wide. Asgrow Desc. Catalog 18. 1954.|fusarium wilt.|
Pluperfect|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.|second early; heavy yielding; double podded.|Dark Perfection. 1952.|||Perfection x Onward x Fasciated.
Plus (XPC 112)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, late maturing canner pea with large sieve size, compact plant.|Pomak. PVP. 1982.||fusarium wilt race 1, powdery mildew, and pea leaf roll virus.|
Podella (Nun7757)|Nunhems Zaden.|Nunhems.|edible pod.|Snow Pea. 1991.||Fusarium oxysporum race 1.|
Point (Nun1040)|Nunhems.|Nunhems.|early freezer, 58 day maturity, ten nodes to first bloom, 3.9 sieve size.|||common wilt, fusarium root rot. PVP. 1993.|
Polaris (AVX 329)|Sunseeds.|Sunseeds.|open pollinated, an early main season freezer with high yield on a wiry stemmed determinate, very uniform vine, berry size in the 4-5 sieve size.|Mars.|midwestern and northern United States. PVP.||
Pomak (XPC 102)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, late canner, medium large sieve, compact plant.|Trojan. PVP 8000115. 1982.||fusarium race 1 and moderate to powdery mildew.|
Prairie|Nunhems Seed Corp. PVP 8900225 (withdrawn).|Nunhems Seed Corp. PVP 8900225 (withdrawn).|||||
