Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Clic (XPC100)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, early, midseason, medium-sieve canner; compact plants for efficient harvest.|||fusarium races 1 and 5. PVP 8000113. 1981.|
Climax|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|canner, three foot, dark, slender vine, pod 2.75', blunt, light, doubles; seed medium wrinkled; obsolete.|||fusarium wilt. Rogers Brothers Seed Company Catalog, 1935.|
Columbia (049)|Pure Line Seeds.|Pure Line Seeds.|darker green vine color at canning and later stages than Early Perfection II.|Early Perfection II.|general in United States. Pure Line Seed Catalog, 1973.|powdery mildew.|Early Perfection II and B104-3-1 (OSU).
Colworth Swan|Unilever, Ltd., U.K. PVP 7200053.|Unilever, Ltd., U.K. PVP 7200053.|||||
Conner|A.G. Gustafson, Seedsman. PVP 7500039.|A.G. Gustafson, Seedsman. PVP 7500039.|||||
Conway|W. Brotherton Seed Company, Inc. PVP 7400020.|W. Brotherton Seed Company, Inc. PVP 7400020.|||||
Corfu (H7)|W. Brotherton Seed Co.|W. Brotherton Seed Co.|multipodded type canning cultivar.|Perfection.|general. 1972.||Trojan x unnamed multi-parent.
Corky|Washburn-Wilson Seed Company, Moscow, Idaho.|Washburn-Wilson Seed Company, Moscow, Idaho.|double and triple podded, small size berries, vigorous, high yielding.|Alaska.|general. 1958.|fusarium.|
Coronet (A-11-3)|Asgrow Seed Co.|Asgrow Seed Co.|small sieve, early, dark berried cultivar for freezing with favorable vining ratio.|Freezer 69.|general. 1964.|fusarium wilt.|
Corvallis (OSU S194-3)|Oregon State Agric. Expt. Sta., Corvallis.|Oregon State Agric. Expt. Sta., Corvallis.|open pollinated, medium-large, smooth pod, mild flavor, for home garden.||Pacific northwest. 1978.|pea enation mosaic virus, pea streak virus, and fusarium wilt race 1.|Wando x G168 (PI 140295) x P601, W.R. Perfection, and Eureka.
Crescent (020 Hybrid)|Pure Line Seeds.|Pure Line Seeds.|midseason freezer with determinate vine, small sieve size, two to three blooms per peduncle.|Coronet.|general in the United States and Europe. Pure Line Seed Catalog, 1973.|fusarium wilt race 1.|
Crystal|Crites-Moscow Growers.|Crites-Moscow Growers.|Afila type, stringless.|||powdery mildew. PVP 9600126 (abandoned 11/97). 1996.|
Dainty (Winner Freezer)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|early, small sieve, good quality freezer.|Alaska. Rogers Brothers Seed Company Catalog. 1967.|||Brotherton Early Freezer x Rogers Winner.
Dali|Asgrow.|Asgrow.|synonym for Payload, for sales in EEC only (name Payload was discovered to have prior use there).||||
Dane|W. Brotherton Seed Company, Inc. PVP 7500068.|W. Brotherton Seed Company, Inc. PVP 7500068.|||||
Dante (XPF98)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, late season freezer.|Puget.|northern Washington. PVP 7800094.|fusarium races 1 and 5.|
Darien|Seminis Vegetable Seeds. PVP 9600127.|Seminis Vegetable Seeds. PVP 9600127.|||||
Dark Skin Perfection|Canners Seed.|W. Brotherton Seed Co.|Perfection type freezer. 1945.||||
Dart (ES 19)|Asgrow Seed Co.|Asgrow Seed Co.|early Elf type for canning; one to two days earlier than Elf.||wide. Asgrow's Vegetables for Processing January. 1968.||
Dash (XP F11)|Asgrow Seed Co.|Asgrow Seed Co.|early, dwarf pea with taller vine and smaller sieve size than Sprite.|Mohawk.|general. 1973.||Sprite x 77.
Dawn (XP C57)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, very early, Alsweet flavor and texture in Alaska maturity, medium sieve canner.|Alsweet.|wide. PVP 7700069. 1977.|fusarium wilt race 1.|
Daybreak|Novartis Seeds, Inc. PVP 8600054.|Novartis Seeds, Inc. PVP 8600054.|||||
Deep Freeze (DEXP 176)|Dessert Seed Co.|Dessert Seed Co.|open pollinated, medium high quality.|Dark Skin Perfection. 1975.||pea enation mosaic virus, pea streak, fusarium wilt.|
Deli (XP C62)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, small sieve, double-podded Alsweet, indeterminate, about same maturity as Alsweet.|Alsweet.|wide. 1975.|fusarium wilt race 1.|Alaska 10 x Alsweet.
Delicious|Roger Brothers Seed Co.|Roger Brothers Seed Co.|Perfection type canner; determinate, double blunt pods; seed medium size, wrinkled; now obsolete. Rogers Brothers Seed Company Catalog, 1935.||||
Delsey (HP-42-1-1-3)|P.Moser.|Rogers Brothers.|trial status, 14-15 node, multipodded dark freezer.|Trident.||fusarium wilt race 1, pea leaf roll.|
Delwiche Commando (Commando)|University of Wisconsin, Madison.|University of Wisconsin, Madison.||Perfection.|United States. 1945.|wilt and near wilt.|Wisconsin Perfection x a breeding lot with Admiral parentage.
Denier (XPC218)|Asgrow.|Asgrow.|small sieve, early, canner color.|Caprice. 1991.||fusarium wilt race 1.|
Dew (XPF3034)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, early freezer with medium small sieve size.|Spring. PVP. 1983.||fusarium race 1.|
Dewdrop (HP147-7)|P.Moser.|Rogers Brothers.|trial status, multipodded 16-17 node, small sieved, dark freezer with an afila vine type.|Waverex.||fusarium wilt race 1, powdery mildew, pea leaf roll.|
Dignity|Crites-Moscow Growers, Inc. PVP 8900296.|Crites-Moscow Growers, Inc. PVP 8900296.|||||
Dinos (XPF106)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, late small-sieve freezer.|Abador, Frisky, and Ivy. PVP 8000118. 1981.||fusarium race 1 and 2.|
Dot (Winner X-1501)|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|prolific, very small seeded, double-podded, smooth seeded (dimpled seeded); early maturity with slim Alaska type vine.|Rogers Winner.|all early pea areas. 1964.|fusarium wilt.|
Dual (XPP111)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, late, medium-sieve pea, may be frozen or canned.|Bolero, DSP, Puget, and Scout. PVP. 1981.||fusarium race 1.|
Duet (692)|Northrup King and Co.|Northrup King and Co.|open pollinated, early main season, medium color freezer pea.|Dark Skin Perfection. 1969.|||
Duke (Canner 69-315)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|open pollinated, mid to late season canner with medium one sieve size, determinate vine with a heavy concentrated set of pods borne two per node.|Camjoy.|wide. PVP. 1980.|fusarium race 1, powdery mildew, and pea enation mosaic virus.|cross using OSU 343.
Durango (XP 374)|Jim McIntosh.|Seminis-Asgrow.|powdery mildew resistant version of Bolero; dark green, large wrinkled.|Bolero, Quad, Genie, Encore.|eastern Washington, midwestern U.S., east coast U.S., Spain, Italy, Eastern Europe. 2000.|fusarium wilt, powdery mildew.|open pollinated.
Dwarf Market|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|midseason garden type, large podded.|Stratagem. Rogers Catalog, 1939.|||light G.O.P. x O.J.
Earligreen (A-11-3)|Morden Research Sta., Morden, Manitoba, Canada.|T and T Seeds.|dwarf plants, average 9' tall, peas lively green color; good for home freezing.|Tiny Tim.|Plains region. 1950.||Engress x unknown early field pea.
Early Freezer|W. Brotherton Seed Company Moses Lake, Washington.||freezer color, green seeded.|Surprise.|wide. 1950.|fusarium wilt.|
Early Freezer 163|Gallatin Valley Seed Company, Twin Falls, Idaho.|Gallatin Valley Seed Company, Twin Falls, Idaho.|early, determinate, high quality, freezer type.||main pea areas. 1960.|fusarium wilt.|
Early Freezer 680|Novartis Seeds, Inc. PVP 8100109.|Novartis Seeds, Inc. PVP 8100109.|||||
Early Frosty|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|freezing cultivar, medium vine, pod 3.5', dark green, blunt, doubles; seed medium large, green, wrinkled.|Frosty. Rogers Brothers Seed Company Catalog, 1966.||fusarium wilt, yellow bean mosaic virus.|
Early Giant|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|early, large podded, garden pea.|Hundredfold. Rogers Catalog, 1947.|||selection from Giant Hamper.
Early Kay|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|canner, vine 32', medium dark pod, 2.5', blunt, light, doubles; obsolete.|Rogers Kay. Rogers Brothers Seed Company Catalog. 1936.||fusarium wilt.|
Early Market (Eastern Record)|Agway.|Agway.|early fresh market and garden type.|World Record. Agway Catalog, 1970.|||Progress 9 and World Record.
Early Perfection 11|Pure Line Seeds.|Pure Line Seeds.|68 day maturity, pods double, medium green, blunt; vine 30-32' tall; first bloom on 13th to 14th node.|Stuart Perfection, Mulnomah, Early Perfection 326.|universal. 1949.|fusarium wilt.|selection from Stuart Perfection.
Early Perfection 109 (16)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|an Early Perfection type canner; sieve size average 4.57; vine height 30-32'; pods blunt, borne doubly.||all pea areas. 1946.|common pea mosaic, and common wilt.|
