Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Ciarda|Enza Zaden.|Enza Zaden.|||||
Coral|Enza Zaden.|Enza Zaden.|||||
Nutrobel|Enza Zaden.|Enza Zaden.|||||
Perfect|Enza Zaden.|Enza Zaden.|||||
Twinkle|Enza Zaden.|Enza Zaden.|||||
