Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
ROG372|Novartis Seeds, Inc., Nampa, Idaho.||navy bean, type IIb growth habit, medium maturity.|||BCMV (I gene). 1999.|
ROG802|Novartis Seeds, Inc., Nampa, Idaho.||dark red kidney, Type Ia growth habit, moderately early, good canner.|||BCMV (I gene). 1998.|
ROG912|Novartis seed, Inc., Nampa, Idaho.||cranberry bean, type Ib growth habit, early-mid maturity.|||BCMV (I gene), anthracnose races alpha and delta. 2000.|
ROG922|Novartis Seeds, Inc. Nampa, Idaho.||pink bean type IIb growth habit, medium maturity.|||BCMV, anthracnose race 07. 2000.|
Romar (XPB 3051F)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, green seeded shell bean for flagpole production; pods flat, kidney shaped, thick walled, and light green.|||BCMV and lambda race of anthracnose.|
Rosada Nativa (PR9443-1)|Puerto Rico Agric. Expt. Stn. and USDA-ARS.||indeterminate, short-vine Type II growth habit, mid-season maturity, pink seed color producing high yields when planted in the hot, humid summer season.|||BCMV (I gene), BGMV and rust. 1999.|DOR483/BelNeb Rust Resistant-1.
Royal Red (K-67 Red Kidney Bean)|USDA and Washington State Agric. Expt. Stat., Prosser.|Washington State Crop Imp. Assn.|tall, erect bush with pods high on plant.|Dark Red Kidney.|northwestern, western, and midwestern US.|curly top, BCMV (1).|curly top-resistant type x Dark Red Kidney.
Roza (GR-18)|USDA-ARS and Washington State Univ.||Pink bean, early maturing, short vined type III plant habit.|||BCMV (prevalent type and NY15 strains), fusarium root rot. Crop Sci. 22:684, 1982. 1974.|Sutter Pink//virus-resistant red-seeded bush breeding line/Red Mexican UI-35/PI 203958.
Ruddy (79512)|Cornell Univ., College of Agric., Dept. of Vegetable Crops, Ithaca, NY.||Light red kidney, type I growth habit, early maturing.|||BCMV (1, NY15 strains). 1982.|White Kidney G01562 (CIAT)/Light Red Kidney Redkloud.
Rufus (AR58-4)|USDA-ARS and Washington State Univ.||Red Mexican, moderate upright type, moderate maturity.|||fusarium root rot, BCMV (type 1, NY15 strains), curly top virus. Crop Sci. 22:685-686, 1982. 1974.|PI 203958//Red Mexican UI-35/PI 203958.
Sacramento|Sacramento Valley Milling, Inc., Ordbend, CA.|Sacramento Valley Milling, Inc., Ordbend, CA.|Light red kidney seed, early maturing, type I plant habit.|||rust. 1977.|selection from California Light Red Kidney.
Saginaw (874)|USDA and Michigan State Univ., East Lansing.||midseason, upright, vine type pea bean.||pea bean areas of US and Canada. 1963.|alpha, beta, and gamma races of Colletotrichum lindemuthianum, BCMV (1 and NY15), halo blight.|F4 F4 BC5 [Michelite x US 5 Refugee (Robust x Crawford)] F5 BC5 [Emerson 847 x (Robust x Early Prolific)].
Sal|Univ. of California, Davis, California.||Small white, type III plant habit, moderately late.|||BCMV (strain 1). 1983.|
Saladin-97 (PC-21 SME)|CIAS, Ministry of Agriculture, Dominican Republic, in coop. with University of Nebraska and University of Puerto Rico.||determinate Type I growth habit, matures in 60 days, light red mottled medium sized elliptical seed.|||strains of CBB; partial resistance to rust; susceptible to BGMV and BCMV. Crop Sci. 40:858, 2000. 1998.|'PC-50'/Bat 1274.
San Juan|Colorado State Univ., Fort Collins, CO.||Pinto bean, type III growth habit, moderately early.|||halo blight. 1935.|
Sanilac|USDA and Michigan State Univ., East Lansing, MI.||upright, bush type.||eastern dry bean region. Science 124:223-224. 1956.|BCMV, alpha and beta strains of bean anthracnose; tolerant to white mold because of growth habit.|Michelite Xray mutant, Emerson 847 and Emerson 53.
Santiago (811865-6-1-7)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|Pinto, type IIa growth habit, early maturity.|||BCMV (I gene). 1995.|
Sapphire (D77125)|Rogers Seed Co., Nampa, ID.|Rogers Seed Co., Nampa, ID.|vigorous type Great Northern cultivar, matures at 89 days at Twin Falls, ID.||areas with light and sloping soils. 1983.|BCMV, halo and common blight.|
Schooner (83045)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|Navy bean seed, semi-upright to semi-vine, type II to III3b, moderately late maturity, adapted northern plains.|||BCMV (I gene), most rust strains in North America. 1992.|
Scottsbluff Pinto|Nebraska Agric. Exp. Stat., Nebraska.||Pinto bean, type III plant habit, early maturity. 1944.||||Great Northern/common pinto bean.
Seafarer (0173)|Michigan State Agric. Expt. Stat., East Lansing, and USDA.||early, erect, determinate plant.|Seaway navy.|Great Lakes basin. 1968.|BCMV and anthracnose.|complex: involving X-ray mutants, Michelite, Emerson 847, Trag, and Florida Belle.
Seaway (3595)|USDA and Michigan State Univ., East Lansing.||short season, height 13 to 19 inches, upright pea bean, maturity 79 days.||bean areas of the US and Canada. Mich. State Quart. Bul., Spring 1963.|halo bacterial blight and BCMV.|F4 BC4 (Michelite Bush X-ray mutant x Topcrop).
Shadow (ROG903)|Rogers Seed Co., Nampa, ID.|Rogers Seed Co., Nampa, ID.|Black bean, type II 2A growth habit, moderately late.|||BCMV (I gene). 1995.|
Shelleasy|Dept. of Hort., Univ. of New Hampshire, Durham.|Hepler Seed Co.|early horticultural shell bean with red seeds.|Flash|northern New England. Univ. of New Hampshire Soc. Vol. 14. 1951.||Flash x Littleton.
Shiny Crow (CO96902)|Colorado State University, Ft. Collins, Co.||prostrate Type III growth habit, mid season maturity, high yielding shiny black seed.|||BCMV (I gene). 1999.|SPS from segregating line from Cali, Colombia.
Sierra (P86299)|Michigan Agric. Exp. Stat. and USDA-ARS.||Pinto bean, late maturity with upright type II plant habit.|||rust; moderate resistance to alpha race anthracnose; tolerant to Michigan isolates of halo blight and to potato leaf hopper. Crop Sci. 30:745-746, 1990. 1989.|derived from cross made as part of population improvement program to develop a prototype upright pinto bean.
Small White 51|Ferry-Morse Seed Co., Mountain View, CA.|Ferry-Morse Seed Co., Mountain View, CA.|Small white, earliness, smaller plants than Calif. Small White.|||BCMV. 1956.|Univ. of Idaho No. 2 x Calif. Small White No. 38.
Small White 52|Ferry-Morse Seed Co., Mountain View, CA.|Similar:|Small white, earliness, slightly later than 51, smaller plants than Calif. Small White.|Resistance: BCMV. 1956.||Parentage:|Parentage. Univ. of Idaho No. 2 x Calif. Small White No. 38, dry beans.
Small White 53|Ferry-Morse Seed Co., Mountain View, CA.|Ferry-Morse Seed Co., Mountain View, CA.|Small white, earliness, smaller plants than Calif. Small White.|||BCMV. 1956.|Univ. of Idaho No. 2 x Calif. Small White No. 38.
Snowball (PVD895)|Wilbur Ellis Seed Div., Spokane, WA.|Wilbur Ellis Seed Div., Spokane, WA.|large, spherical, white, round-near round; semi-trailing plant; white semi-rough pods, open, vigorous foliage, medium-late maturity, very high production potential; very extensive root structures.|||BCMV (1, NY15), curly top, bean root rots. 1982.|
Spinel (D78174)|Rogers Seed Co., Nampa, ID.|Rogers Seed Co., Nampa, ID.|determinate (bush) Great Northern.|||bean rust and BCMV. 1983.|
Star (GN-CB-BW-71-44)|Univ. of Nebraska, Lincoln, NE.||Great Northern, type III growth habit.||western Nebraska, eastern Wyoming. HortScience 11:621, 1976. 1975.|common bacterial blight, halo blight, bacterial wilt, BCMV, curly top.|Great Northern (GN) #1 sel. 27*6/GN Nebr. #1 sel. 27/PI 165078.
Starlight (WM1-85-43)|Univ. of Nebraska, Lincoln, NE.||Great Northern, type IIb growth habit, large (30-40 g/100 seed) bright white seed.||western Nebraska. HortScience 26:441-442, 1991. 1990.|rust (Ur-3 gene), good avoidance of white mold due to more open plant canopy.|Tacaragua/Great Northern (GN) Nebraska #1 sel. 27//GN Nebraska # sel. 27/Bulgarian White.
Steuben Yellow Eye (64-23)|Cornell Univ. College of Agric., Dept. of Vegetable Crops, Ithaca, NY.||Yellow Eye, seed slightly larger and more uniform, higher yielding than original Yellow Eye. 1961.||||selection from Yellow Eye.
Stinger (XPB155)|Asgrow Seed Co.|Asgrow Seed Co.|High yielding navy bean, good seed quality, late maturity.|||BCMV (I gene). 1986.|
Sumcran|Sacramento Valley Milling Co., Ordbend, California.|Sacramento Valley Milling Co., Ordbend, California.|Cranberry, type I growth habit, intermediate maturity. 1986.||||
Sutter|Univ. of California, Davis, California.||Pink bean, type III growth habit, moderately early.|||curly top virus. 1943.|Standard Pink/Early Pink.
Swan Valley (MSU#61618)|Michigan Agric. Exp. Stat. and USDA-ARS.||Navy bean, off-white seed, type II upright short vine growth habit.|||BCMV (I gene), rust, beta, gamma, and delta races of anthracnose; tolerant to Michigan isolates of halo blight, and to air pollution oxidant ozone. Crop Sci. 26:1080-1081, 1986. 1981.|NEP-2/Black Turtle Soup.
T 39|Univ. of California, Davis, California.||Black bean, type III growth habit, late maturity.|||BCMV (1, NY15 strains), rust. 1975.|
Tall Bun-Yan|Clarence Muehfeld, Bridgeport, MI.||Navy bean, bush plant habit and moderately late. 1981.||||
Tara (65-4-74)|Nebraska Agric. Expt. Stat., Lincoln.||Great Northern, type III growth habit, late maturity, dark green foliage.|||common bacterial blight. Nebr. Agric. Expt. Stat. Bull. 506. 1969.|Great northern 1140 x Great northern Nebraska 1-27.
Tuscola (8467)|Michigan Agric. Exp. Stat. and USDA-ARS.||Navy bean, vigorous bush habit, more erect than Sanilac, seed coat more resistant to mechanical damage than standard cultivars.|||anthracnose (alpha and beta races), BCMV (type 1, NY15 strains). 1977.|derived from a fourth intercross generation of 10x10 diallel cross of navy beans.
UI-1|Univ. of Idaho Agric. Expt. Stat.|Idaho Crop Improvement Assn.||||BCMV (1). 1930.|selection from common great northern.
UI-3|Univ. of Idaho, Moscow.|Idaho Crop Improvement Assn.|Small red Mexican seed, late.|Red Mexican.|Idaho and Washington. Idaho Expt. Stat. Circ. 118. 1938.|BCMV (1) and curly top.|Great North. UI-1 x Common Red Mexican.
UI-16|Univ. of Idaho, Moscow.|Idaho Crop Improvement Assn.|early, large white seed, Great Northern, indeterminate plant habit.|Great Northern.|western states. Idaho Expt. Stat. Circ. 118. 1948.|curly top, BCMV (type 1 and NY15).|Great Northern UI-59 x Common Red Mexican.
UI-31|Univ. of Idaho, Moscow.|Idaho Crop Improvement Assn.|early, large white seed.|Great Northern.|western states. Idaho Expt. Stat. Circ. 118. 1948.|BCMV (type 1 and NY15 strains) and curly top.|Great North. UI-59 x Common Red Mexican.
UI-34|Univ. of Idaho, Moscow.|Idaho Crop Improvement Assn.|Small red seed, late.||Idaho and Washington. Idaho Expt. Stat. Circ. 118. 1938.|BCMV (1) and curly top.|Great North. UI-1 x Common Red Mexican.
UI-36|Univ. of Idaho Agric. Exp. Stat.||Red Mexican bean seed, early maturity, upright plant habit.|||BCMV and curly top. Idaho Agric. Exp. Stat. Bull. No. 429. 1964.|Red Mex UI 34/GN UI 31.
UI-37|Univ. of Idaho Agric. Exp. Stat.||Red Mexican seed, short semi-vining upright plant habit, early maturity.|||BCMV and curly top. Idaho Agric. Exp. Stat. Bull. No. 429. 1964.|Red Mex UI 34/GN UI 56.
UI-42 (KR42)|Univ. of Idaho Agric. Exp. Stat.||Red Mexican, short vine type, intermediate maturity.|||curly top and BCMV (type 1 and NY15 strains). 1983.|UI 36/R-370.
UI-50|Univ. of Idaho Agric. Exp. Stat.||Cranberry seed, near bush plant habit, late maturity.|||BCMV (1 and 1A). 1974.|61-2942/Cran 1466.
UI-51|Univ. of Idaho Agric. Exp. Stat.||Cranberry seed, near bush plant habit, moderately late maturity.|||BCMV (1 and 1A). 1974.|61-2942/Cran 1466.
UI-59|Univ. of Idaho Agric. Exp. Stat.||Great Northern, type III growth habit.|||BCMV (type 1 and NY15 strains). Univ. of Idaho Agric. Exp. Stat. Circular No. 118, 1952. 1932.|Selected from the common Great Northern.
UI-60 (KL10)|Univ. of Idaho Agric. Exp. Stat.||Great Northern, type III plant habit, intermediate maturity.|||curly top, BCMV (type 1, NY15 strains). 1983.|Great Northern UI 61/R221.
UI-61|Univ. of Idaho Agric. Exp. Stat.||Semi-vining plant habit, average Great Northern seed size.||throughout US. Idaho Agric. Exp. Stat. Bull. No. 561. 1975.|curly top, BCMV.|Great Northern UI 59/Common Red Mexican.
UI-72|Univ. of Idaho, Moscow.|Idaho Crop Improvement Assn.|Pinto, improved seed shape, upright plants, early maturity.||wide regional. Idaho Expt. Stat. Circ. 118. 1945.|BCMV (1) and curly top.|Red Mexican UI-34 x Common Pinto.
UI-76|Univ. of Idaho College of Agric.||Navy bean, semi-vining plant habit, moderate late maturity.|||BCMV (type 1 and NY15 strains). 1976.|PI 282057/Experimental line 4792.
UI-78|Univ. of Idaho, Moscow.|Idaho Crop Improvement Assn.|Pinto, improved seed shape, upright plants, early maturity.||wide regional. Idaho Agric. Expt. Stat. Circ. 118. 1945.|BCMV (1), curly top.|Red Mexican UI-34 x Common Pinto.
UI-111|Univ. of Idaho Agric. Exp. Sta., Moscow.|Idaho Crop Improvement Assn.|Pinto, type III plant habit, improved seed shape, upright, early maturity.||wide regional. Univ. of Idaho Agric. Exp. Stat. Circular No. 118, 1952. 1945.|curly top and BCMV (1).|Red Mexican UI 34/Common Pinto.
UI-114|Univ. of Idaho Agric. Exp. Stat.||Pinto, type III growth habit, large seed.||western states of US. 1967.|BCMV, curly top virus.|Pinto UI 111/Great Northern line J378.
UI-123|Univ. of Idaho Agric. Exp. Stat.||Great Northern, type III plant habit.|||BCMV (type 1 and NY15 strains). Univ. of Idaho Agric. Exp. Stat. Circular No. 118, 1952. 1932.|selection from the common Great Northern.
UI-125|Univ. of Idaho Agric. Exp. Stat.||Small white, type II growth habit, late maturity.|||BCMV (type 1 and NY15 strains). 1990.|
UI-126|Univ. of Idaho Agric. Exp. Stat.||Pinto, type III growth habit.||western states of US. 1983.|BCMV and curly top viruses.|R764 x Pinto UI 114.
UI-129 (KP97)|Univ. of Idaho Agric. Exp. Stat.||Pinto bean, type III plant habit, maturity intermediate.|||curly top and BCMV. 1983.|
UI-137|Univ. of Idaho Agric. Exp. Stat.||Navy bean, type II growth habit, intermediate maturity.|||BCMV (type 1, NY15 strains). 1991.|
UI-158 (K0158)|Univ. of Idaho Agric. Exp. Stat.||Navy bean with slightly ovate and flat seed, type II plant habit, good cooking quality.|||curly top and BCMV (I gene), tolerant to bacterial disease. 1985.|Aurora/UI 76.
UI-196|Univ. of Idaho Agric. Exp. Stat. and USDA-ARS.||Pinto, type III.||western states of US. 1990.|BCMV, curly top viruses, fusarium root rot.|Pinto UI 114/PI 203598/UI35.
UI-228|Univ. of Idaho Agric. Exp. Stat.||Small red, type III, intermediate maturity.|||BCMV (type 1, NY15 strains), curly top virus. 1993.|
UI-239|Univ. of Idaho Agric. Exp. Stat.||Small red, type III growth habit, intermediate maturity.|||BCMV (type 1, NY15 strains), curly top virus. 1993.|
Characteristics: Type III growth habit, oval, shiny small dark red seed, matures in 91 days.|Adaptation:|Similar:|Breeder: University of Idaho Foundation Seed Program, Kimberly, ID.|Resistance: BCMV and BCMNV; susceptible to rust strains in Col. and Mich., resistant to ND rust strains. 1997.|9) -|Parentage: NW 59/2/UI 36/6917.|Name: UI-259 (88
Characteristics: Type III growth habit, matures in 89 days, oval pinto seed with tan background and darker tan and brown mottling, high yielding.|Adaptation:|Similar: Chase.|Breeder: University of Idaho Foundation Seed Program, Kimberly, Idaho.|Resistance: BCMV (I gene) and rust. 1997.|0) -|Parentage: Emerson/2/PI226856/UI 76/4/R544/UI 61/2/Aurora/3/US 1140.|Name: UI-320 (93
UI-425|Univ. of Idaho Agric. Exp. Stat.||Great Northern, type 3 growth habit, moderately late.||western states US. 1984.|BCMV.|Emerson//R544/Great Northern UI 61.
Characteristics: Type III growth habit, matures in 88 days, oval, slightly flattened dull white great northern seed.|Adaptation:|Similar:|Breeder: University of Idaho Foundation Seed Program, Kimberly, ID.|Resistance: BCMV (I gene) and rust. 1997.|5G) -|Parentage: Emerson/2/PI226856/UI 76/4/R544/UI 61/2/Aurora/3/US 1140.|Name: UI-465 (90
UI-537|Univ. of Idaho Agric. Exp. Stat.||Pink bean, type III growth habit, intermediate maturity.|||BCMV (type 1, NY15 strains), curly top virus. 1990.|Red Mexican UI 37/Pink Viva.
UI-686|Univ. of Idaho Agric. Exp. Stat.||upright indeterminate vine growth habit, large seeded Cranberry bean with good yields.|||BCMV (I gene). Crop Sci. 31:1708-1709, 1991.|UI 50/Hilo Bean.
UI-722|Univ. of Idaho Agric. Exp. Stat.||Dark red kidney, type 1 growth habit.||Idaho, New York, and Michigan. Crop Sci. 31:1709, 1991. 1988.|BCMV (I gene), slow rusting in Nebraska and Maryland.|Mecosta//67-105/PI 226856.
UI-906|Univ. of Idaho Agric. Exp. Stat.||Black, type IIa growth habit, early maturity.||Pacific Northwest, North Central states, central Canada. Crop Sci. 31:1710, 1991. 1988.|BCMV (I gene), some rust races.|Midnight/07053.
UI-911|Univ. of Idaho Agric. Exp. Stat.||Black bean, type II growth habit, intermediate maturity.|||BCMV (type 1, NY15 strains). 1993.|
Valley (GN Exp.-M)|Univ. of Nebraska, Lincoln, NE.||Great Northern, type III growth habit, variable for maturity.||western Nebraska. HortScience 9:482, 1974. 1974.|common bacterial blight and BCMV.|Great Northern (GN) Nebraska #1 sel. 27*6/GN Nebr. #sel. 27/GN 1140.
Victor (GR-122)|USDA-ARS and Agric. Exp. Sta., Washington, Idaho and Oregon.||Pink bean, type III short vine growth habit.||western US.|BCMV (type 1, NY15 strains); field resistant to fusarium root rot.|Sutter Pink/3/Red Mexican UI-35/PI 203958/Red Mexican UI-35.
Violeta (70-R-23-BK-A)|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||Intermediate height bush bean, high yielding with intermediate maturity, pink with purple bean seed.|||BCMV; moderately tolerant to bacterial blight and rust. 1976.|Bulk selection from PI 209808 (Kenya).
Vision (XP-B309)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Pinto, upright indeterminate.|||rust (Ur-3); moderate tolerance to air pollution. 1995.|Pinto breeding line/Pinto Othello.
Viva (5R-119 and GR-47)|USDA-ARS and Washington State Univ.||Pink bean, early maturing, short vined type III plants.|||BCMV (prevalent type, NY15 strains), fusarium root rot. Crop Sci. 22:684, 1982. 1974.|Sutter Pink/Red Mexican UI-35 1*/Red Mexican UI-35/PI 203958.
Volcano (XPB 265)|Asgrow.||dry bean; classic pod elegance.|Gipsy. 1995.||bean common mosaic virus 1 gene.|
Voyager (ROG303)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|navy bean, type IIb growth habit, moderately early.||northern US.|BCMV (I gene). 1995.|
W 117|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||Short, erect semi-vine plant habit, white bean seed. 1979.||||Bonita/15R-55 (Puerto Rico).
W 142|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||Short, erect semi-vine plant habit, white bean seed.|||rust, BCMV. 1979.|Bonita/50600 (Costa Rica).
Westland (T8001)|W.G. Thompson and Sons, Ltd., Canada.|Asgrow.|a second early navy bean with excellent yield and quality.|Sanilac. 1983.||bean common mosaic virus 1 and 5.|Kentwood/74F-2.
Winchester (ROG171)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|Pinto bean, type IIb growth habit, intermediate maturity.|||rust, BCMV (I gene). 1996.|
WYO 166|Univ. of Wyoming, Laramie, Wyoming.||Pinto, type 3 growth habit.||western US. 1965.||Phaseolus vulgaris Golden Pinto/Phaseolus coccineus White Runner.
WYO 167|Univ. of Wyoming, Laramie, Wyoming.||Pinto, type III growth habit.||western US. 1984.||Pinto WYO 166/Pinto UI 114.
Yolano|Univ. of California, Davis, California.||Pink bean, type III growth habit, moderate early maturity.|||BCMV (type 1, NY15 strains), curly top virus. 1989.|
Zircon (D76063)|Rogers Bros. Seed Co.|Rogers Bros. Seed Co.|||Iowa, Washington, California. 1982.|curly top, BCMV.|Aurora x Adjutant; open pollinated.
