Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Ivory (D80152)|Rogers Seed Co., Nampa, ID.|Rogers Seed Co., Nampa, ID.|Great Northern, type III growth habit, early maturity.|||BCMV, common blight. 1983.|
Jaguar (B95556)|Michigan Agr. Expt. Stn. and USDA-ARS.||short vine indeterminate (Type IIa) growth habit; small opaque black seed with typical characteristics of commercial black beans, maturing in 93 days.|||I gene resistance to BCMV, resistance to anthracnose, Ur-3 rust resistance and tolerance to white mold, mod. susceptible to common blight. 2000.|B90211 / N90616.
JB-178 (PR9705-178)|CIAS, Ministry of Dominican Republic, University of Nebraska, University of Puerto Rico.||Type I determinate growth habit, matures in 55 to 60 days, light red mottled, elliptical seed, well adapted to low and intermediate altitudes.|||partial resistance to rust, susceptible to BGMV, BCMV and BCMV necrotic virus-NL3. Crop Sci. 40:857, 2000. 1998.|Jose Beta / C1308.
Jules (Nebr. 67-90)|Univ. of Nebraska, Lincoln, NE.||type III growth habit, late maturity.|GN Tara.|western Nebraska. Plant Disease Rptr. 54:557-559, 1970. 1979.|common blight.|Great Northern Nebr. #1 sel. 27/GN 1140.
Kamiakin (K83 and K279)|USDA-ARS and Washington State Univ.||Light red kidney bean, strong upright type I growth habit.|||curly top virus and BCMV (I gene). Crop Sci. 35:944, 1995. 1986.|Royal Red/Redkote.
Kardinal (K333 and GRK333)|USDA-ARS, Washington State Univ., and Univ. of Idaho.||Light red kidney bean, strong upright type I growth habit, maturity 90 to 100 days.|||curly top virus and BCMV (I gene). Crop Sci. 35:944, 1995. 1986.|Manitou/5/Pinto UI-114/3/Pinto UI-112/2/UI-112/PI 203958/4/Jacob's Cattle.
Kodiak (P94207)|Michigan Agr. Expt. Stn. and USDA-ARS.||indeterminate Type II growth habit with mid season maturity; typical flat pinto bean shape and color with canning quality comparing to other commercial cultivars such as Othello.|||I gene and bc-12 gene resistance to BCMV, resistance to rust, susceptible to anthracnose, tolerance to white mold and susceptible to common blight. Crop Sci. 39:292, 1999. 1998.|P90557 / G91213.
La Vega (R-19)|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||semi-vine, high yielding and intermediate in maturity, dull black bean.||tropical climate. 1973.|Rhynchosia mosaic virus, BCMV, cowpea mosaic virus, a beetle transmitted virus, slow rusting.|Bulk selection in PI287536 (Holland).
Laker (C-15)|Michigan Agric. Exp. Stat. and USDA-ARS.||Navy bean, upright type I determinate growth habit.|||lodging, BCMV (I gene), tolerant to rust, ozone pollution. Crop Sci. 24:1210, 1984. 1983.|ICA-Pijao/Nep-2//W-20/Kentwood.
Lark (XPB178)|Asgrow Seed Co.|Asgrow Seed Co.|uniform light red kidney with attractive bean shape-straight across the hilum, type I growth habit.|||BCMV. 1987.|
