Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Anson|Proudfoot, Ag. Canada, Newfoundland.||not in production; high yield of round, white tubers; late maturity, good for tablestock, high tuber solids.|||moderate to late blight. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1981.|F53018 x Mira.
Antigo|University of Wisconsin, Madison.|Wisconsin Certified Growers.|early to midseason maturity, tough tuber skin for mechanical harvesting.|Irish Cobbler.|North central. American Potato Journal 32:407-410, 1955.|scab.|Menominee x Wis. Seedling 302.44-6.
Arenac (IA1111-8)|Thompson, Iowa State University, Michigan State University, USDA.||extinct; medium-high yield of round, white tubers; late maturity, good for tablestock, chips, high tuber solids.|||common scab; immune to PVX. Potato Handbook, 1962, Potato Assoc. Amer. 1962.|B595-76 x IA872-4.
Ashworth|Cornell University, Ithaca, New York.||determinate growth, medium maturity, approximates Katahdin in yield, almost symptomless carrier for virus Y.||Northeast. American Potato Journal 24:319-336, 1947. 1946.|late blight.|CBP-1 x AQF-4, both parents Solanum demissum derivatives.
Atlantic (B6987-56)|Webb, Wilson, Shumaker, USDA, University Maine, University Florida.||high yield of round, scaly tubers; medium maturity, good for chips, high tuber solids, short dormancy, popular throughout the United States and Canada for chip production using direct-delivered potatoes, valid 1996.|||golden nematode, pink eye, net necrosis caused by pea leaf roll virus; immune to PVX. American Potato Journal 55:141. 1976.|Wauseon x B5141-6 (Lenape).
Avon (F4713)|Young, Ag. Canada, New Brunswick.||not in production; medium-high yield of oblong, white tubers; late maturity, good for tablestock, medium tuber solids.|||late blight, R-gene, common scab. American Potato Journal 39:363. 1958.|F1464-26 x USDA X96-56.
Bake-King (NY3)|R. Plaisted, Cornell.||high yield of oblong, white tubers; medium-early maturity, good for tablestock, high tuber solids, a russetted sport was released in 1994 (APJ, 71:127).||produced primarily in Alaska, valid 1996. American Potato Journal 44:287. 1967.|late blight, R-gene.|Merrimack x Green Mountain.
Batoche|Russel, Young, Ag. Canada, Saskatchewan.||not in production; medium yield of round, red tubers; medium maturity, good for tablestock, medium tuber solids.|||moderate to verticillium wilt. Potato Varieties in Canada, 1991. New Brunswick Department of Ag. 1976.|Scott 2774-3R x Redskin.
Beauty of Hebron|Coy, private.||open pollinated seedling; not in production; medium-high yield of oval, white-pink splashed tubers; early maturity, good for tablestock. USDA Circular 741, 1946. 1978.||||Garnet Chili.
Belchip (B6987-29)|Webb, Wilson, Shumaker, USDA, University Maine, University Florida.||not in production; high yield of round, white tubers; late maturity, good for chips, medium tuber solids, medium dormancy.|||race O of late blight, R-gene, heat necrosis; immune to PVA, PVX, net necrosis caused by pea leaf roll virus. American Potato Journal 57:61. 1979.|Wauseon x B5141-6 (Lenape).
Belleisle|Canada Department of Agric. Research Sta., Fredericton, N.B., Canada.|Canada Agriculture.|high specific gravity, bruise resistant, oval shape.||Atlantic region of Canada. American Potato Journal 52:51-55, 1975.|common scab, black wart, fusarium sambucinum.|SSRPB 834c(29) x F4724 (F47024).
Belrus (B7147-8)|Webb, Wilson, Shumaker, USDA, University Florida, University Maine.||medium-high yield of long, heavily russetted tubers; late maturity, good for tablestock, french fries, high tuber solids, medium dormancy.||produced primarily in Maine, Florida, valid 1996. American Potato Journal 58:111. 1978.|heat necrosis, northern root knot nematode, pinkeye; immune to PVA.|W245-2 x Penobscot.
Berita|Rockefeller Foundation, Mexico City, Mexico.|Rockefeller Foundation, Mexico City, Mexico.|medium maturity, smooth white tubers with white flesh.|||high field type to late blight. American Potato Journal 36:301, 1959.|seedling from a self pollination of a selection of USDA Ace 25953 x USDA Ace 25959.
Bison (ND6634-2R)|Johansen, North Dakota St. University.||not in production; medium yield of round, dark red tubers; medium maturity, good for tablestock, low tuber solids, medium dormancy.|||late blight race O, R-gene. American Potato Journal 54:189. 1974.|ND4652-4R x ND5124-1R.
Blanca|USDA, Greeley, Colo.|USDA and Colorado Agric. Expt. Sta., Fort Collins, Colo.|smooth white skinned, oval to slightly flattened tubers, medium maturity, good culinary and chipping qualities.|Katahdin.|Colorado. American Potato Journal 38:236-239, 1961.|scab.|USDA seedling x627-164 x USDA seedling B929-32.
Blue Mac|Proudfoot, Ag. Canada, Newfoundland.||not in production; high yield of round, purple tubers; late maturity, good for tablestock, medium tuber solids.|||moderate to late blight. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1979.|Arran Victory x AND5-142.
Boone|North Carolina State College, Raleigh, and USDA, Beltsville, Maryland.||late maturity, excellent baker, and good keeper.|Sebago.|western areas of North Carolina. American Potato Journal 33:315-318, 1956.|late blight.|TI-5 x B231-3.
Bounty|Nebraska Agric. Expt. Sta., Lincoln.|Nebraska Agric. Expt. Sta., Lincoln.|high yielding red skinned cultivar higher in solids than Red Pontiac or Red La Soda.||Nebraska, 1960.||North Dakota-136 x Nebraska 217.43-1.
Brigus|Proudfoot, Ag. Canada, Newfoundland.||not in production; high yield of oval, purple tubers with yellow flesh; medium maturity, good for tablestock, medium tuber solids, very short dormancy.|||moderate to late blight, storage rots. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1983.|G64-124-5p x SJ62-26-14.
Burbank|Burbank, private.||open pollinated seedling; high yield of long, white tubers; late maturity, good for tablestock, french fries, medium solids, long dormancy; the cultivar Russet Burbank is a sport of Burbank, has replaced it in production agriculture.|||common scab. USDA Circ. 741, 1946. 1976.|Early Rose.
Butte (A6371-2)|Pavek et al., USDA, University Idaho, Washington State University, Oregon State University.||high yield of long, russet tubers; late maturity, good for tablestock, french fries, medium tuber solids, medium dormancy, common garden cultivar, valid 1996.|||immune to PVX, net necrosis caused by pea leaf roll virus. American Potato Journal 65:685. 1977.|A492-2 x Norgold Russet.
Calgold (AD7267-1)|Voss, Pavek, University California, USDA.||not in production; high yield of long, lightly russetted tubers; late maturity, good for tablestock, medium tuber solids.|||verticillium wilt. University of California Research Reviews, 1986, Issue 17. 1987.|Butte x A6680-5.
Calrose (USDA 672-26)|Clark, USDA.||not in production; high yield of long, white tubers; late maturity, good for tablestock.|||late blight, R-gene. American Potato Journal 23:343. 1946.|Ackersegen x Katahdin.
CalWhite (A76147-2)|Voss, Pavek, University California, USDA.||very high yield of oblong, white tubers; medium-late maturity, good for tablestock, medium tuber solids, short dormancy, high in Vitamin C.||produced primarily in California, valid 1996. USDA Cultivar release notice, not dated. 1995.|fusarium tuber rot.|Pioneer x BC8370-4.
Campbell 11 (BR6863-3)|Nickeson, Campbell Institute.||not in production; high yield of round white tubers; maturity late, good for chips, medium tuber solids.|||golden nematode, late blight, R-gene, verticillium wilt. American Potato Journal 54:121. 1977.|Wauseon x B5141-6 (Lenape).
Campbell 12 (BR6626-5)|Nickeson, Campbell Institute.||extinct; high yield of oval, white tubers; late maturity, good for tablestock, medium tuber solids.|||late blight, R-gene. American Potato Journal 54:121. 1978.|Raritan x B5413-1.
Campbell 13 (BR6862-2)|Nickeson, Campbell Institute.||medium-high yield of oblong, white tubers; medium maturity, good for chips, medium tuber solids.||produced primarily in Maine, valid 1996. American Potato Journal 54:121. 1978.|late blight, R-gene, golden nematode, net necrosis caused by pea leaf roll virus.|Wauseon x B5042-2.
Campbell 14 (BR7093-23)|Reeves, Nickeson, University Maine, Campbell Institute.||not in production; high yield of round, white tubers; late maturity, good for tablestock, chips, medium tuber solids, medium dormancy.|||verticillium wilt, net necrosis caused by pea leaf roll virus. American Potato Journal 62:215. 1985.|BR5960-9 x ND5737-3.
Canoga|Plant Breeding Department, Cornell University Ithaca, New York.||good yielder, tubers keep shape, no net necrosis, mealy baker, does not slough when boiled, has fine flavor.|Smooth Rural.|northeastern United States. American Potato Journal 28:672-674, 1951.|leaf hoppers and tarnished plant bugs.|Albion x Katahdin.
Canso|Agric. Expt. Sta., Fredericton, New Brunswick, Canada.|Experimental Farm.|high starch content, very attractive tubers.|Katahdin.|eastern Canada. American Potato Journal 28:697-698, 1951. 1951.|common races of late blight.|(Solanum demissum x Earlaine x Katahdin x Katahdin x Katahdin x Katahdin) x Katahdin.
Canus|USDA, and Canada Department of Agric., Lacombe, Alta., Canada.||high yield, tubers round to oblong, white, medium early.||western Canada. American Potato Journal, 26:326-330, 1949.||Greeley seedling 9-11 x USDA seedling 24642.
Caribe (F69026)|Young, DeJong, Ag. Canada, New Brunswick.||medium-high yield of oblong, purple tubers; early maturity, good for tablestock, low tuber solids, medium dormancy.||produced in Atlantic Canada, valid 1996. American Potato Journal 61:281. 1981.|common scab.|F55066 x USDA X96-56.
