Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Genesee (NY78)|Plaisted, Cornell University.||high yield of round, white tubers; late maturity, good for tablestock, low tuber solids.||produced primarily in New York, valid 1996. American Potato Journal 70:897. 1993.|golden nematode, verticillium wilt.|M348-45 x Katahdin.
Glenmeer|Cornell University, Ithaca, New York.||high yield, very late in maturity, red tubers.||central New York. American Potato Journal 27:1-10, 1950. 1946.|late blight.|NY ABX-6 x Redd 1152 (F2), Triumph, ABX-3-Solanum demissum derivative.
Golden|Clark, USDA.||extinct; medium-high yield of round, white tubers with yellow flesh; late maturity, good for tablestock. American Potato Journal 8:121. 1935.||||USDA 43106 x USDA 43543.
Goldrus (B8972-1)|Webb et al., USDA, others.||not in production; medium yield of oblong, heavily russetted tubers; early-medium maturity, good for tablestock. 1984.||||B7583-19 x B7160-4.
Goldrush (ND1538-1Russ)|Johansen et al., North Dakota State University.||medium-high yield of oblong, russet tubers; medium maturity, good for tablestock, french fries, medium tuber solids, medium dormancy.||produced primarily in the midwestern, western United States, valid 1996. American Potato Journal 71:809. 1992.|common scab.|ND450-3Russ x Lemhi Russet.
Grand Falls (F5609)|Young, Ag Canada, New Brunswick.||not in production; high yield of oblong, white tubers; medium-late maturity, good for starch, high tuber solids.|||fusarium tuber rot, sambucinum. American Potato Journal 43:323. 1965.|F48034 x SSRPB1682C (1).
Green Mountain|Alexander, University Vermont.||high yield of oblong, white tubers; late maturity, good for tablestock, high tuber solids, long dormancy.||produced primarily in the northeastern United States, Atlantic Canada, valid 1996. USDA Circ. 741, 1946. 1985.|fusarium tuber rot, blackleg, verticillium wilt.|Excelsior x Dunmore.
Haig (Nebraska 223.48-1X)|Werner, University Nebraska.||not in production; medium yield of oblong, white tubers; very early maturity, good for tablestock, low tuber solids.|||PVX, common scab. National Potato Germplasm Report 28:128. 1957.|Cayuga x MN43.39-6-40.
Hampton (Q54-15)|Plaisted, Cornell University.||high yield of round, white tubers; late maturity, good for tablestock, medium tuber solids.||produced primarily in New York, valid 1996. American Potato Journal 62:455. 1985.|golden nematode, verticillium wilt.|NY48 x NY51.
Harford (NY CSF-11)|Reddick, Cornell University.||extinct; high yield of oval, white tubers; late maturity, good for tablestock.|||late blight, R-gene. American Potato Journal 27:8. 1947.|Russet Rural x NY AFY15.
Highlat Russet (B8934-2)|Dearborn, USDA, University Alaska.||not in production; high yield of oblong, russet tubers; late maturity, good for tablestock, medium tuber solids. American Potato Journal 58:177. 1980.||||B7680-6 x B7196-25.
HiLite Russet (78-LCI)|Loosli, private.||medium yield of oblong, russet tubers; early maturity, good for tablestock, medium tuber solids, long dormancy.||produced primarily in Atlantic Canada. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1987.|net necrosis caused by pea leaf roll virus, common scab, hollow heart.|uncertain possibly Nooksack x Norgold Russet.
Hi-Plains (Nebraska 302.50-5)|OKeefe, University Nebraska.||extinct; medium-high yield of oblong, lightly russetted tubers; medium-late maturity, good for tablestock, chips, low tuber solids.|||common scab. American Potato Journal 42:361. 1965.|USDA X528-170 x Kasota.
Houma|United States Department of Agric.||white, high yielding, good quality, market and cooking.||New England and New York. US Department of Agric. Circ. 420, 1936.|mild mosaic, net necrosis, leaf roll.|Charles Downing x Katahdin.
Hudson (NY41)|Plaisted, Cornell University.||not in production; very high yield of oblong, white tubers; late maturity, good for tablestock, medium tuber solids.|||golden nematode. American Potato Journal 50:212. 1972.|NIF-1 x 56N18-4.
Hunter (F5350)|Davies et al., Ag. Canada, New Brunswick.||not in production; high yield of oval, white tubers; medium-late maturity, good for tablestock, medium tuber solids.|||late blight, R-gene, blackleg, verticillium wilt, corky ringspot; immune to PVX, PVA. American Potato Journal 40:275. 1961.|F4823 x SSRBP834C (29).
Huron (F1711-9)|Johnston et al., Ag. Canada, New Brunswick.||not in production; high yield of round, white tubers; late maturity, good for tablestock, medium tuber solids.|||common scab. American Potato Journal 35:715. 1958.|Hindenburg x Sebago.
Idita Red (AK18-69-6-71)|Carling, University Alaska.||not in production; high yield of oblong, red tubers with yellow flesh; early maturity, good for tablestock, low tuber solids, long dormancy. American Potato Journal 66:741. 1989.||||Rode Errsteling x Red Beauty.
Irish Cobbler|private.||high yield of round, white tubers with deep eyes, early maturity, good for tablestock, low tuber solids, short dormancy, the predominant cultivar in Japan, known as Danshakuimo, valid 1996.||produced primarily in the upper midwest of the United States. USDA Circ. 741, 1946.|PVA.|
Islander (AF186-5)|Reeves, Akeley, others, University Maine.||not in production; high yield of oblong, white tubers; medium maturity, good for tablestock, chips, medium tuber solids.|||golden nematode, common scab, early blight, net necrosis caused by pea leaf roll virus. American Potato Journal 61:543. 1984.|Chipbelle x Norchip.
Itasca (MN12567)|Lauer, University Minnesota.||high yield of round, white tubers; late maturity, good for tablestock and chips, medium tuber solids.||produced primarily in the upper midwest of the United States, valid 1996. 1994.|common scab.|MN304.72-10 x ND58-3.
Jemseg (F67072)|Young et al., Ag. Canada, New Brunswick.||medium yield of oblong, white tubers; early maturity, good for tablestock, medium tuber solids.||produced primarily in Atlantic Canada, valid 1996. American Potato Journal 56:325. 1978.|common scab.|Sable x F55069.
Jersey Redskin|USDA.|University of Tenn.|a fall potato University of Tenn. Bul. 148, 1933.||||
Jewel (121P)|Pratt, private.||extinct; medium-high yield of oval, white tubers; medium-late maturity, good for chips. American Potato Journal 46:83. 1969.||||Sebago x Stately.
K N I K|Alaska Expt. Sta., Palmer.|Alaska Certified Seed Growers.|smooth skin, shallow eye, high yield, large, long, oval, solid tubers.||Alaska. American Potato Journal 30:148-149, 1953.||Arctic Seedling Green Mt. x MN56-1.
Kanona (NY71)|Plaisted, Cornell University.||high yield of round, white tubers; late maturity, good for chips and tablestock, medium tuber solids, medium dormancy.||produced primarily in the northeastern United States and Atlantic Canada, valid 1996. American Potato Journal 66:145. 1988.|golden nematode.|Peconic x GN bulk pollen.
Kasota|Minnesota Agric. Expt. Sta., Saint Paul.||medium early, red tubers, maintains tuber type under wide range of conditions.||on heavier silt loam soils. American Potato Journal 20:25-27, 1943.||Bliss Triumph x Selection 29-13.
Katahdin (USDA 42667)|Clark, USDA.||high yield of round, white tubers; late maturity, good for tablestock, medium tuber solids, medium dormancy, historically the standard for round, white fresh market production.||produced primarily in the northeastern United States, Atlantic Canada, valid 1996. American Potato Journal 8:121. 1932.|PVA, PVX, PVY, net necrosis caused by pea leaf roll virus.|USDA 40568 x USDA 24642.
Kennebec|USDA.||white, high yield, tubers elliptical to oblong, eyes shallow, good quality.||northern United States. American Potato Journal 25:351-361, 1948.|late blight, mild mosaic and net necrosis.|USDA B127 x X96-56.
Keswick|Canadian Dominion Expt. Sta., Fredericton, New Brunswick, Canada.|Experimental Farm.|high starch content, tendency to grow oversize on rich soils.|Chippewa.|eastern Canada. American Potato Journal 28:698-699, 1951. 1951.|common races of late blight.|F1020-1 (Solanum demissum x Earlaine x Earlaine x Earlaine) x Green Mountain.
Krantz (MN9648)|Lauer, Miller, others, University Minnesota, Texas A and M University.||medium yield of oblong, russet tubers; medium maturity, good for tablestock, french fries, medium solids, short dormancy.||produced primarily in the northeastern United States, Atlantic Canada, valid 1996. American Potato Journal 65:387. 1985.|common scab, hollow heart, verticillium wilt, late blight.|MN366.65-3 x G6743-5.
LaBelle (LA01-38)|Fontenot, Louisiana State University.||high yield of oblong, white tubers; medium-late maturity, good for tablestock, chips, low tuber solids, medium dormancy.||produced primarily in Nebraska, valid 1996. American Potato Journal 68:13. 1989.|hollow heart, heat necrosis.|B5461-4 x B5141-6 (Lenape).
LaChipper (L91-78)|Miller et al., Louisiana State University.||high yield of round, white tubers; medium maturity, good for tablestock, chips, medium tuber solids.||produced primarily in the upper midwest, northeastern regions of the United States, valid 1996. American Potato Journal 40:130. 1962.|late blight.|Cayuga x Green Mountain.
Lake|USDA.||extinct. 1945.||||Richters Jubel x USDA 44537.
Langlade (W718)|Peloquin, University Wisconsin.||high yield of round, white tubers; medium maturity, good for tablestock, medium tuber solids.||produced primarily in the upper midwest, northeastern regions of the United States, valid 1996. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1985.|common scab.|Kennebec x W631.
LaRouge (L42-45)|Miller et al., Louisiana State University.||high yield of round, red tubers; medium-late maturity, good for tablestock, low tuber solids.||produced primarily in the upper midwest of the United States, valid 1996. American Potato Journal 40:130. 1962.|common scab.|LA02-5 x LA02-5.
LaSalle|Miller, Louisiana State University.||extinct; high yield of oval, white tubers; early-medium maturity, good for tablestock, medium vigorous and upright plants; tubers white, semi-flat, slightly oblong, shallow eyes.|Katahdin.|Virginia and Maryland. American Potato Journal 25:89-91, 1948. 1948.|PVX.|Chippewa x inbred seedling of Triumph.
LaSoda|Miller, Louisiana State University.||not in production; high yield of oblong, white tubers; medium maturity, good for tablestock, medium tuber solids, medium dormancy, red skinned mutant of this cultivar, named Red LaSoda, has replaced it in commerce; medium-vigorous plant, upright, medium leaves; bright pinkish-red tubers semi-round to slightly oblong; medium to shallow eyes.|Pontiac.|all potato growing areas. American Potato Journal 25:89-91, 1948. 1948.|mosaic.|Triumph x Katahdin.
Lemhi Russet (A68678-1)|Pavek et al., USDA, University Idaho.||not in production; high yield of long, russet tubers; late maturity, good for tablestock, french fries, high tuber solids, short dormancy.|||common scab, net necrosis caused by pea leaf roll virus. American Potato Journal 58:619. 1981.|Pioneer x A63126-8.
Lenape (B5141-6)|Akeley et al., USDA, Pennsylvania State University.||not in production; medium yield of round, white, flattened tubers; medium maturity, good for chipping, high tuber solids, short dormancy, release rescinded due to high glycoalkaloid content in tubers.|||late blight, R-gene, PVX, net necrosis caused by pea leaf roll virus. American Potato Journal 45:142. 1967.|Delta Gold x B3672-3.
Madison|Cornell University, Ithaca, New York.||determinate growth, yield equals Katahdin, tendency for tubers to hollow-heart.||central New York. American Potato Journal 27:1-10, 1950. 1947.|late blight.|Earlaine x AMY-4, AMY-4-Solanum demissum derivative.
Mainechip (AF875-16)|Reeves et al., University Maine.||medium yield of round, white tubers; medium maturity, good for chips, tablestock, high tuber solids, medium dormancy.||produced primarily in Maine, New Brunswick, valid 1996. American Potato Journal 71:237. 1991.|net necrosis caused by pea leaf roll virus.|AF186-2 x AF84-4.
Mainestay (AF1060-2)|Reeves et al., University Maine.||high yield of round, white tubers; medium-late maturity, good for tablestock.||produced primarily in Maine, valid 1996. 1995.|net necrosis caused by pea leaf roll virus.|AF431-9 x AF431-9.
Manota|North Dakota Agric. Expt. Sta., Fargo.|University of Manitoba.|shallow eyed, smooth, slightly flattened and elongated.|Cobbler.|northern central United States and prairie provinces of Canada. American Potato Journal 30:50-52, 1953.||Minnesota 11-1-2-1 (Early Ohio, Keeper, and Silverskin) x Minnesota 9-4 (Warba and Katahdin).
Marygold|USDA and the University of Maryland, College Park.|W. Deberry, Oakland, Maryland.|yellow flesh, smooth, high yield, responds to chemical treatment for breaking rest period.||Coastal Plain. American Potato Journal 26:2532, 1949. 1949.||Earlaine x USDA 45208.
Mason|Warren Mason, Berlin, Philadelphia.||was principal cultivar in Somerset County, but became infected with leaf roll, obsolete.|other White Rural selections. 1940.|||a white sport selected from Russet Rural.
Maverick|Reeves, University Maine.||not in production; high yield of oblong, lightly russetted tubers; medium maturity, good for tablestock, low tuber solids, medium dormancy.|||common scab, acid scab, silver scurf, net necrosis caused by pea leaf roll virus, late blight, R-gene, PVX. Potato Varieties in Canada, 1991, New Brunswick Department of Agric. 1986.|B6330-3 x A6334-20.
McCormick|McCormick, private.||extinct, late maturity.|||wart. USDA Circ. 741, 1946. 1982.|
Menominee|Michigan State College, East Lansing, and the USDA.|Certified Seed Growers.|high yield, white skin, tendency toward resetting, cubical tubers, eyes medium deep.||north central region. American Potato Journal November, 1944.|scab, late blight, and mild mosaic.|Richters Jubel x Seedling 44537.
Merrimack (B355-44)|USDA, Beltsville, Maryland, and New Hampshire Agric. Expt. Sta., Durham.|Colby Brothers.|||general, except in north. American Potato Journal 32:3 March, 1955.|high to late blight and ring rot.|Saranac x X96-56.
Mesaba|Minnesota Agric. Expt. Sta., Saint Paul.||early, smooth, rural type tubers, upright productive vine.||short seasons and peat lands. American Potato Journal 15(4):89-91, 1938.||Russet Rural x Set. 41-1.
Michibonne (MS709)|Thompson, Michigan State University.||extinct. 1977.||||IA902-3 x IA872-4.
Michigami|Thompson, Michigan State University.||extinct. 1977.||||IA90 x Emmet.
Michigold (MS704-10Y)|Chase et al., Michigan State University.||not in production; medium yield of round, white tubers with yellow flesh; medium maturity, good for tablestock, medium tuber solids, short dormancy.|||early blight. American Potato Journal 69:629. 1988.|Atlantic x bulk pollen.
Michimac|Thompson, Michigan State University.||not in production. 1977.||||IA902-3 x Emmet.
Mirton Pearl (N135-55)|Proudfoot, Ag. Canada, Newfoundland.||not in production; very high yield of oblong, white tubers with deep eyes, medium maturity, good for tablestock, medium-high tuber solids.|||moderate to late blight. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1975.|Mira x F53018.
Mohawk|Cornell University, Ithaca, New York, and the USDA.||tubers flattened oblong, eyes shallow, skin white flaked; excellent cooking quality.||New England and New York. American Potato Journal, April, 1943.|mild mosaic.|Green Mountain x Katahdin.
Monona (B3620-1)|Stevenson et al., USDA, Frito-Lay.||medium yield of oblong, white tubers; medium maturity, good for chips, low tuber solids.||produced throughout the United States, Canada, valid 1996. American Potato Journal 42:253. 1964.|PVY, PVA.|B1268-46 x B1299-15.
Mouraska (LP8058)|Freve, Ag. Canada, Quebec.||high yield of oblong, white tubers; early-medium maturity, good for tablestock, early chipping, low tuber solids.||produced primarily in Quebec, valid 1996. Potato Varieties in Canada, 1991, New Brunswick Department of Agric. 1990.||Hudson x F59103.
Nampa (A63126-2)|Pavek et al., USDA, University Idaho.||not in production; high yield of oblong, russet tubers; late maturity, good for tablestock, french fries, medium tuber solids, medium dormancy.|||common scab, net necrosis caused by pea leaf roll virus, hollow heart, storage rots. American Potato Journal 50:296. 1973.|A589-65 x Norgold Russet.
Navajo|USDA, Greeley, Colorado.|USDA and Colorado Agric. Expt. Sta., Ft. Collins, Colorado.|good yield, high cooking and chipping quality, medium maturity, smooth white skin with shallow eyes.|Katahdin.|Colorado, 1958.|scab and common race of late blight.|USDA seedling X627-126 x USDA seedling B 929-32.
Nemarus (B9540-62)|Goth et al., USDA.||not in production; high yield of oblong, russet tubers; medium-late maturity, good for tablestock, low tuber solids, medium dormancy.|||golden nematode, PVX, net necrosis caused by pea leaf roll virus, fusarium tuber rot. American Potato Journal 66:703. 1985.|B7160-4 x B7610-1.
Nipigon (F60051)|Johnston et al., Ag. Canada, Ontario.||not in production; high yield of oblong, white tubers; late maturity, good for tablestock, medium tuber solids.|||PVX, PVY, late blight, R-gene. American Potato Journal 55:107. 1976.|F53026 x F51043.
Niska (W848)|Lynch et al., Ag. Canada, Alberta, University Wisconsin.||medium yield of oval, white tubers; late maturity, good for chips, tablestock, high tuber solids, medium dormancy.||produced primarily in Atlantic Canada, valid 1996. American Potato Journal 68:143. 1991.|common scab, PVS.|Wischip x B5141-6 (Lenape).
Nooksack (WN168)|Hoyman and Holland, USDA.||medium yield of oblong, flat, russet tubers; late maturity, good for french fries, tablestock, high tuber solids, very long dormancy.||produced primarily in the western United States, valid 1996. American Potato Journal 51:99. 1973.|verticillium wilt, net necrosis caused by pea leaf roll virus, common scab.|Kennebec x A501-13.
Norchief (ND5778-2R)|Johansen et al., North Dakota State University.||not in production; high yield of round, dark red tubers; early-medium maturity, good for tablestock, medium tuber solids.|||common scab. American Potato Journal 46:298. 1968.|ND4468-1R x Redkote.
Norchip (ND5899-1)|Johansen et al., North Dakota State University.||medium yield of round, white tubers; medium maturity, good for chips, tablestock, medium tuber solids, short dormancy, predominant chipping cultivar in North America until about 1990.||produced throughout the United States, Canada. American Potato Journal 46:254. 1968.||ND4731-1 x M5009-2.
Nordak (ND457-1-10)|Johansen et al., North Dakota State University.||not in production; medium yield of oblong, white tubers; early maturity, good for tablestock, chips, medium tuber solids.|||PVY. American Potato Journal 35:774. 1957.|ND457-1 x ND457-1.
NorDonna (ND1871-3R)|Johansen et al., North Dakota State University.||medium yield of round, dark red tubers; medium maturity, good for tablestock, low tuber solids, medium dormancy.||produced primarily in the upper midwest of the United States, valid 1996. 1995.||ND206-1R x ND821-6R.
Norgleam (ND457-1-16)|Johansen et al., North Dakota State University.||not in production; high yield of oblong, white tubers; early maturity, good for tablestock, chips, medium tuber solids.|||PVY. American Potato Journal 35:774. 1957.|ND457-1 x ND457-1.
Norgold Russet|Johansen, North Dakota State University.||medium-high yield of oblong, russet tubers; early maturity, good for tablestock, medium tuber solids, short dormancy, predominant early tablestock, russet cultivar in the United States until about 1985.|Russet Burbank.|produced primarily in Texas, 1996. American Potato Journal 47:201. 1964.|scab.|A119-1 x ND2475-8.
NorKing Russet (ND388-1 Russ)|Johansen et al., North Dakota State University.||medium-high yield of oblong, heavily russetted tubers; medium maturity, good for french fries and tablestock, medium tuber solids, long dormancy.||produced primarily in the western United States, Atlantic Canada, valid 1996. American Potato Journal 63:701. 1985.|common scab, verticillium wilt.|Nooksack x ND9567-2 Russ.
Norkota|USDA.||extinct; high yield of oblong, white tubers; good for tablestock. USDA Circ. 741, 1946. 1933.||||Rural New Yorker x Katahdin.
Norland (ND2906-1R)|Johansen et al., North Dakota State University.||medium-high yield of round, light red tubers, very early maturity, good for tablestock, low tuber solids, very short dormancy; two darker red mutants of Norland, Red Norland and Dark Red Norland are the predominant early red skinned cultivars in the United States, Canada.|||common scab. American Potato Journal 36:12. 1957.|RedKote x ND626.
NorQueen Russet (ND671-4Russ)|Johansen et al., North Dakota State University.||medium-low yield of oblong, flattened, heavily russetted tubers; early maturity, good for tablestock, low tuber solids, medium dormancy.||produced primarily in North Dakota, valid 1996. 1993.|common scab.|WN330-1 x ND9567-2Russ.
NorValley (ND2417-6)|Novy, North Dakota State University.||medium yield of round, white tubers; medium maturity, good for chips, medium tuber solids, capable of producing chips directly from cold storage.||produced primarily in the upper midwest of the United States, valid 1996. 1996.|common scab, hollow heart.|Norchip x ND860-2.
NorWis (FL657)|Cipar, Frito-Lay.||high yield of oblong, white tubers; medium-late maturity, good for chips, medium tuber solids, short dormancy.||produced primarily in the upper midwest of the United States, valid 1996. American Potato Journal 67:371. 1990.|PVX, PVY, pea leaf roll virus.|RD289-18 x Monona.
OAC Ruby Gold (G8160-11RY)|Ali-Khan et al., Ag. Canada, Ontario.||medium-high yield of oblong, red tubers with yellow flesh; medium maturity, good for tablestock, medium tuber solids, medium dormancy.||produced primarily in Ontario, valid 1996. American Potato Journal 73:301. 1994.|common scab, verticillium wilt.|Rhinered x Rose Gold.
OAC Temagami (G8160-6R)|Ali-Khan et al., Ag. Canada, Ontario.||not in production; medium-high yield of round, dark red tubers; medium maturity, good for tablestock, medium tuber solids, medium dormancy.|||moderate to common scab, verticillium wilt. American Potato Journal 73:305. 1994.|Rhinered x Rose Gold.
Oceania|Webb et al., USDA, University Florida, Virginia.||not in production; high yield of round, white tubers; medium maturity, good for tablestock.|||PVA, PVY. 1981.|DT5997-1R x B5283-5.
Ona|USDA, Beltsville, Maryland.||medium oblong tubers, white skin, shallow eyes.|Katahdin.|Minnesota, Maine, and Florida. American Potato Journal, 1962, 1961.|late blight, scab, and verticillium wilt and immune from mild mosaic.|USDA seedlings B3021-3 x B2968-31.
Onaway|Michigan State University, East Lansing.||upright vine; vigorous growth for early cultivar; best yielding early cultivar.|Irish Cobbler.|Bay Company, Michigan early potato regions.|common scab; field resistance to late blight.|Katahdin x B9G-56 (parentage of B9G-56 is 3895 x Earliana).
Oneida (W623)|Peloquin, University Wisconsin.||not in production. Badger Commentator 29:3. 1976.||||W285 x W231.
Ontario|Cornell University, Ithaca, New York, the USDA.||high yielding, white, oblong tubers, shallow eyes.||western New York and Wisconsin. American Potato Journal, 1946.|scab and late bright.|Richters Jubel x USDA 44537.
Oromonte (USDA 46125)|Twomey, USDA, Colorado State University.||extinct; medium-high yield of oblong, white tubers with yellow flesh; late maturity, good for chips.|||PVY. American Potato Journal 45:297. 1967.|USDA 43106 x Katahdin.
Osage|USDA, Beltsville, Maryland, and the Iowa Agric. Expt. Sta., Ames.|Ben Picha.|smooth, long tubers, midseason maturity, high quality, low set, tendency to hollow heart, long dormancy.||central and northeastern muck areas. American Potato Journal 31: 299-304, 1954.|scab.|USDA Seedling X245-186 x Katahdin.
Osseo|University of Minnesota, Institute of Agriculture, University Farm, Saint Paul.||extra early, white tubers, upright vine, uniform size of tubers.||short seasons and early market gardens. University of Minnesota Expt. Sta. Rpt., 19. 1952.||Cobbler x selection 56-1.
Pawnee|USDA, Colorado Potato Expt. Sta., Greeley.||good yield, good market quality.||Colorado. USDA Circ. 665, March, 1943.||Rural New Yorker 2 x Katahdin.
Peconic (NY1)|Peterson, Cornell University.||not in production; high yield of oval, white tubers; early-medium maturity, good for tablestock, medium tuber solids.|||golden nematode. American Potato Journal 43:450. 1966.|LNA-106 x Katahdin.
Peerless|Bresee, private.||extinct; high yield of round, white-splashed pink tubers; late maturity, good for tablestock. Potato Handbook, 1959. Potato Assoc. of Amer. 1962.||||open pollinated seedling of Garnet Chili.
Pele (35-5)|Ito, University Hawaii.||extinct; high yield of round, white tubers; late maturity, good for tablestock, medium tuber solids.|||late blight. American Potato Journal 55:573. 1978.|57-AH-9 x Anita.
Pennchip (PA4QV-30)|Mills, Pennsylvania State University.||not in production; medium-high yield of round, white tubers; late maturity, good for chips, low tuber solids, long dormancy.|||late blight, R-gene, PVA. American Potato Journal 41:54. 1963.|PA3RD-5 x PA3WH-9.
Pennigan|Pennsylvania State University, University Park.||obsolete.|Russet Rural.|same as Russet Rural. 1938.||Russet Rural x McCormick.
Pennrose|Mills, Pennsylvania State University.||not in production; tubers are round with red skin, good for tablestock. 1981.||||Norland x B4494-6.
Penobscot (B3563-2)|Simpson and Akeley, University Maine, USDA.||not in production; medium-high yield of oblong, white tubers; early-medium maturity, good for tablestock, chips, high tuber solids.|||PVA. American Potato Journal 41:140. 1963.|USDA X927-3 x Katahdin.
PHX 523|Ben Picha, Box 816, Grand Forks, North Dakota.|Ben Picha, Box 816, Grand Forks, North Dakota.||Russet Burbank.|wide. 1966.|scab.|B1396-2 x ND4096-1.
PHX 541|Ben Picha, Box 816, Grand Forks, North Dakota.|Ben Picha, Box 816, Grand Forks, North Dakota.||Katahdin.|wide. 1966.|scab and virus XI.|Ia 801-10 x B2368-4.
PHX 591|Ben Piclia, Box 816, Grand Forks, North Dakota.|Ben Piclia, Box 816, Grand Forks, North Dakota.||White Rose.|wide. 1966.|scab and viruses X and Y.|B1396-2 x ND4096-1.
Pink Pearl (S.J. 62 26-9)|Canada Department of Agric., St. Johns West, Newfoundland, Canada.||late maturity, red skin, white fleshed, long tuber.|Ultimus.|Newfoundland, Canada, 1970.|potato wart races 1, 2, and 6; blight; and blackleg.|Ultimus x Katahdin.
Pioneer|Miller and OKeefe, University Nebraska.||not in production; high yield of oblong, light red tubers; medium maturity, good for tablestock, french fries, medium tuber solids. American Potato Journal 40:81. 1963.||||MN113-1-45 x Nebraska 225.43-1.
Placid|Cornell University, Ithaca, New York.||yield equivalent to Katahdins, midseason maturity, tendency for rough tubers in some areas, almost a carrier for virus Y.||northeastern United States. American Potato Journal 24:319-336, 1947. 1946.|late blight.|ABX-6 x AFY-5; both are Solanum demissum derivatives.
Platte (Nebraska 4.56-9)|OKeefe and Werner, University Nebraska.||extinct; medium-high yield of round, white tubers; medium-late maturity, good for chips, tablestock, medium tuber solids, medium dormancy.|||common scab. American Potato Journal 42:361. 1965.|Redbake x Nebraska 29.47-2.
Plymouth|USDA, Beltsville, Maryland, and North Carolina State College, Raleigh.||medium maturity.|Mohawk.|Maine and tidewater areas of North Carolina and Long Island, 1956.|late blight and scab.|Mohawk x 96-56.
Pontiac|Michigan State College, East Lansing, and USDA.|Certified Seed Growers.|high yielding, red skin type.|Triumph.|Red River Valley, Michigan, and Minnesota. Michigan Agric. Expt. Sta. Bul. 21(3):1939.||Bliss Triumph x Katahdin.
Portage (CS7697-24)|Reeves et al., University Maine, Campbell Institute.||not in production; medium-high yield of oval, white tubers; early maturity, good for tablestock, low tuber solids, medium dormancy.|||late blight, R-gene, verticillium wilt, net necrosis caused by pea leaf roll virus. American Potato Journal 72:681. 1992.|Raritan x BR6831-5.
Potomac|University of Maryland and the USDA, College Park.|W. Deberry, Oakland, Maryland.|smooth skin, shallow eyes, late.||northeastern United States. American Potato Journal 22: 261-266, 1945. 1945.|late blight and tipburn.|Rural New Yorker x Katahdin.
Prestile (CS7635-4)|Reeves et al., University Maine, Campbell Institute.||not in production; high yield of round, white tubers; late maturity, good for tablestock, low tuber solids, long dormancy.|||PVX, net necrosis caused by pea leaf roll virus. American Potato Journal 71:89. 1991.|BR6293-12 x B5421-3.
Pride|Pratt, private.||extinct; medium yield of round, white tubers; early-medium maturity, good for tablestock, low tuber solids.|||common scab. American Potato Journal 46:88. 1968.|Sebago x Ag56.
Progress|Department of Hort. Agric. Expt. Sta., University of Nebraska, Lincoln.|Nebraska Certified Potato Growers Cooperative.|scab resistant tubers that have red skin color, do not crack at harvest time, medium to small size, average cooking quality.||regionally as a late crop in western irrigation areas. 1949.|common scab.|USDA 0183 x Minnesota 5-10-3-8.
Ptarmigan (F76080)|Lynch et al., Ag. Canada, Alberta.||medium yield of oval, white tubers; early maturity, good for chips, tablestock, low tuber solids, medium dormancy.||produced primarily in the western United States, western Canada, valid 1996. American Potato Journal 71:387. 1993.|moderate to early blight, common scab.|ND6993-13 x F59103.
Pungo|Virginia Truck Expt. Sta., Norfolk and USDA, Beltsville, Maryland||medium maturity, rapid growth.||Virginia and Maine. American Potato Journal 30:323-326, 1954.|late blight.|96-44 x 528-170.
Quaggy Joe (AF1470)|Reeves et al., University Maine.||medium-high yield of round, white tubers; medium maturity, good for tablestock, low tuber solids.||produced primarily in Maine, valid 1996. 1996.|net necrosis caused by pea leaf roll virus.|CS7589-8 x Portage.
Ranger Russet (A7411-2)|Pavek et al., USDA, University Idaho.||high yield of long, russet tubers; late maturity, good for french fries, tablestock, high tuber solids, medium dormancy.||produced primarily in the western United States, valid 1996. American Potato Journal 69:483. 1991.|PVY, verticillium wilt, fusarium tuber rot, hollow heart, net necrosis caused by pea leaf roll virus; immune to PVX.|Butte x A6595-3.
Raritan (F54059)|Campbell and Young, Rutgers University.||not in production; high yield of oblong, lightly russetted tubers; medium-late maturity, good for chips, high tuber solids.|||PVX, PVA, late blight, R-gene. American Potato Journal 47:264. 1970.|F45019 x SSRBP834C (29).
Red Beauty|University of Wisconsin, Madison.|Starks Farms.|upright growth habit; medium season; smooth, bright red tubers.|Triumph.|midwestern United States. American Potato Journal 32:346-349, 1955.|verticillium wilt.|NDI x Cayuga.
Red Cloud (Nebraska A143.70-2)|OKeefe et al., University Nebraska.||medium yield of oval, dark red tubers; medium maturity, good for tablestock, medium tuber solids, very long dormancy.||produced primarily in Nebraska, southwest United States, valid 1996. American Potato Journal 70:301. 1992.|common scab, verticillium wilt, early blight.|Nebraska 185.70-1 x Superior.
Red Gold (G7015-11RY)|Coffin et al., Ag. Canada, Ontario.||not in production; medium yield of round, red tubers with yellow flesh; early-medium maturity, good for tablestock, medium tuber solids, short dormancy.|||common scab. American Potato Journal 65:49. 1987.|G68211 x G6521-4RY.
Red LaSoda|Webb and Miller, USDA, Louisiana State University.|Certified Seed Growers.|more intense skin coloration than LaSoda; otherwise identical.|LaSoda.|south and early northern areas. American Potato Journal 31:40, 1954. 1953.||red skinned sport of LaSoda.
Red McClure|private institution.||not in production; high yield of oblong, red tubers; late maturity, good for tablestock. USDA Circ. 741, 1946. 1910.||||red skinned sport of Improved Peachblow.
