Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Green Leaf Vegetable Amaranth||Johnny's Selected Seeds, Evergreen Seeds (http://www.evergreenseeds.com), Corona Seeds (http://www.coronaseeds.com).|oval to heart-shaped leaves; deep green color.||||
Kahlalu Leaf||Abundant Life Seed Foundation.|45-50 days, used like spinach, purple venation, adapts easily to most localities; endangered cultivar.||||
Red Leaf Edible Amaranth||Evergreen Seeds (http://www.evergreenseeds.com), Corona Seeds (http://www.coronaseeds.com).|large green leaves with red stripes.||||
White Leaf Edible Amaranth||Evergreen Seeds (http://www.evergreenseeds.com).|dwarf type with light green leaves and stems which are very tender.||||
