Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Castle Crown (Castlehy 1061)|Arco Seed Co.|Arco Seed Co.|F1 hybrid, smooth, jointless, deep globe shape, very firm fresh-market type.|Sunny.|California and Mexico.|fusarium wilt races 1 and 2, verticillium wilt, nematodes, gray leaf spot, and alternaria stem canker.|
Castle King (Castlehy 1054)|Arco Seed Co.|Arco Seed Co.|F1 hybrid, late-season fresh-market type; medium-size vine, large, firm fruit with concentrated set.|Royal Flush.|California's central valley.|verticillium wilt, fusarium wilt races 1 and 2, and gray leaf spot.|
Castle Red (Castlex 622)|A.L. Castle.|A.L. Castle.|open pollinated, early jointless (j2) round wholepeel, uniform ripening type.|Murrieta.|semi-arid processing tomato-growing areas. PVP certificate no. 8200139. 1982.|verticillium wilt race 1, fusarium wilt race 1.|
Castlehy 1017|A.L. Castle.|A.L. Castle.|F1 hybrid, high-yielding, high soluble solids processor type.|Castlemor.|semi-arid processing tomato growing areas. 1978.|verticillium wilt race 1, fusarium wilt races 1 and 2.|
Castlehy 1204 Improved|A.L. Castle.|A.L. Castle.|F1 hybrid, early maturing processing type with good color and firmness.|U.C. 105. 1978.||verticillium wilt race 1, fusarium wilt race 1.|
Castlejay (Castlehy 1516)|A.L. Castle.|A.L. Castle.|F1 hybrid, jointless (j2), uniform ripening (uu), whole-peel processor type.|Castle Red.|wide. 1982.|verticillium wilt race 1, fusarium wilt races 1 and 2.|
Castlelong UG [(65-2 x 1339-12) Al]|A.L. Castle.|A.L. Castle.|early maturity, elongate fruit shape, uniform ripening processing type.|VF 65-2.|semi-arid processing tomato-growing areas. PVP certificate no. 8100077. 1975.|verticillium wilt race 1, fusarium wilt race 1.|
Castlemor Improved (Castlemor C5)|A.L. Castle.|A.L. Castle.|open pollinated, larger plant frame and higher yielding than VF 145B-7879 in San Joaquin Valley of California.|VF 145B-7879.|semi-arid processing tomato-growing areas. 1972.|verticillium wilt race 1, fusarium wilt race 1.|
Castlepeel II (Castlepeel II)|A.L. Castle.|A.L. Castle.|open pollinated, compact vine, early maturing, round whole-peel type; easy peel character.|VF145 B-7879.|semi-arid processing tomato growing areas. 1982.|verticillium wilt race 1, fusarium wilt race 1.|
Castlerock (Castlex 489G)|A.L. Castle.|A.L. Castle.|open pollinated, firm with high percentage of interlocular wall tissue, high color; high-viscosity processor type.|UC 82.|semi-arid areas. PVP certificate no. 8100078. 1980.|verticillium wilt race 1 and fusarium wilt race 1.|
Castleroyal (7W907C)|Arco Seed Co.|Arco Seed Co.|open pollinated, jointless (j2), uniform ripening deep blocky fruit.|UC 134.|semi-arid processing tomato growing areas. 1983.|verticillium wilt race 1, fusarium wilt races 1 and 2.|
Castlette (Castlehy 1067)|Arco Seed Co.|Arco Seed Co.|firm, jointless cherry tomato, medium determinate vine; about six to eight fruit per cluster.|Cherry Grande.|Mexico and California.|fusarium wilt race 1 and verticillium wilt race 1.|
Cavalier|Dept. of Hort., North Dakota Agric. Expt. Sta., Fargo, N.D.||larger, smoother fruit than Bounty and adapted to commercial and home garden production.|Bounty.|regionally to the north central United States and other short seasoned areas. N.D. Agric. Expt. Sta. Bimonthly Bul. 15 (3). Jan.-Feb. 1953.||Bounty x Valiant.
Celtics (Nun 7391)|Nunhems Zaden.|Nunhems Zaden.|indeterminate greenhouse type, medium vigorous growth, good open plant habit, fruit 190-210 g, round-oblate, slight green shoulders, very firm.|Dumbo. 1991.|||
Centennial (Ind. 68-46)|Purdue University.|Agric. Alumni Seed Improvement Association.|VF145 with improved crack resistance and earliness, firm, oval with slight nipple, small stem scar, good color fruit, machine harvest.||midwestern United States. 1969.|verticillium wilt race 1, fusarium wilt race 1.|(VF145 x V564) x Roma.
Centurion (XPH 5101)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, relatively firm-fruited, fresh-market type.|Nema 1200.|California. 1986.|verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, alternaria stem canker, gray leaf spot, and Cladosporium leafmold.|
Challenger|Massachusetts Agric. Expt. Sta.|Eastern States Farmers' Exchange, West Springfield, Massachusetts.|F1 hybrid, vigorous, indeterminate plant; fruits medium deep, little or no cracking.||northeastern United States. E.S. catalog. 1962.||Red Cloud x Jubilee.
Chef's Favorite|Burpee Seed Co.|Burpee Seed Co.|||U.S. 2004.||
Cherokee (NC BC1-32)|North Carolina State University, Fletcher.|North Carolina State University, Fletcher.|fresh market, large determinate, late season, medium-slightly large fruit, uniform green shoulder.|||fusarium wilt races 1 and 2, verticillium wilt race 1. HortScience 17:92-93, 1982. 1981.|[(Walter x Ace 55VF)F2 x Walter]F7.
Cherry King|Northrup King.|Northrup King.|recommended for cherry tomato grower seeking an indeterminate plant type producing medium to medium-large cherry-sized fruit.|||verticillium wilt race 1, fusarium wilt race 1, nematodes. 1989.|
Cherry Royale (NVH 4464)|Northrup King.|Northrup King.|cherry type, determinate bush plant habit, round fruit, green shoulder, firm, uniform shape, fruit size 1.3-1.5' diameter, will do well staked or as a bush.|Cherry Grande. 1986.||verticillium wilt race 1, fusarium wilt race 1, nematodes, tobacco mosaic virus.|
Cherry Supreme (54 x 221)|Arco Seed Co.|Arco Seed Co.|large vine jointed cherry type.|Large Red Cherry.|San Diego and Mexico.|fusarium wilt race 1.|
Cherry Sweet (GSV 83-010)|Northrup, King Co.|Northrup, King Co.|F1 hybrid, firm cherry type.||wide. 1983.|verticillium wilt race 1, fusarium wilt race 1, nematodes, tobacco mosaic virus.|
Chesapeake|Maryland Agric. Expt. Sta., College Park.|Maryland Agric. Expt. Sta., College Park.|freedom from fruit cracks, uniform unripe color gene.|Marglobe.|regionally to the Middle Atlantic states. Md. Agr. Expt. Sta. Publ. 1954.|cracking and fusarium wilt.|(Brown Special x Marglobe) x Pan American x (Brown Special x Marglobe).
Chico (M-25)|Texas Agric. Expt. Sta., Weslaco.|Texas Agric. Expt. Sta., Weslaco.|paste type, compact vine adapted to machine harvest; excellent processing qualities, concentrated fruit set and maturity, very productive.|Roma.|southwestern United States. Texas Leaf. 557. 1952.|fusarium wilt and gray leaf spot.|
Chunky (AVX 7880)|Sunseeds.|Sunseeds.|F1 hybrid, midseason square round.||western and southwestern United States.|Verticillium wilt race 1, fusarium wilt races 1 and 2.|
Cisco (XPH12057)|Asgrow.|Asgrow.|large-fruited, uniform shouldered tomato with vigorous determinate plant.|Sunbrite. 1995.||verticillium wilt race 1, fusarium wilt races 1 and 2, alternaria stem canker, Stev. nematode.|
Classy Lady (SXT 6580)|Sunseeds.|Sunseeds.|F1 hybrid, fresh market, determinate, late season, large fruit, smooth blossom scars.||California mid-September to late October. 1992.|fusarium wilt race 1, verticillium wilt race 1, nematodes, gray leaf spot, alternaria stem canker.|
Climbing Trip-L-Crop|Burgess Seed and Plant Co., Galesburg, Michigan.|Burgess Seed and Plant Co., Galesburg, Michigan.|strong, climbing potato-leaf vines that are very productive under favorable conditions.||same areas as beef-steak types. Burgess Catalog. 1937.||unknown; probably one of more vigorous strains of potato-leaf Ponderosa type, parent plant found in field of Colossal.
Clinton Hybrid|W. Atlee Burpee Co., Philadelphia.|W. Atlee Burpee Co., Philadelphia.|F1 hybrid, highly prolific, indeterminate plant habit; fruit medium-large, globular-oblate, bright scarlet.|Rutgers.|wide, particularly to the western and the midwestern United States. Burpee catalog 1947.||
Cluster Grande (190565)|Jim Waltrip.|Seminis-Petoseed.|Red harvest, fresh market indeterminate, round, medium size fruit, very uniform UG to shining red.|Monica.|home garden. 2000.|ASC, FW, ToMV, V.|F1 hybrid.
Cobia (NVH 4459)|Northrup King.|Northrup King.|deep globe fruit, very firm with thick walls, smooth shoulders, with a tight blossom end, fruit are jointed, green shoulders, colors well under gas ripening.|Sunny. 1990.||verticillium wilt race 1, fusarium wilt races 1 and 2, gray leaf spot.|
Cobra|Vilmorin.|Vilmorin.|very productive, fruit very resistant to splitting, uniform size, vigorous plant with short internodes, green shoulder, round to oblong shape, 5-6 locules, very firm even at maturity, average weight 180-200 g. 1993.||||
Cold Set|Ontario Agr. College, Guelph.|Douglass Seed Co., Brantford, Canada.|early self-pruning; hot and cold set type, having set fruit in the Peace River District of Alberta and as far south as Texas; red flesh.|Fireball.|wide. 1963.||Fireball x wild-fruited Filipino no. 2 (pink selection).
Colonial (PSX 34183)|Petoseed.|Petoseed.|medium large determinate for stake or bush culture. fresh market, green wrap, 76 day maturity, deep globe, 7-8 oz or 200-300 g, green shoulder, jointless, smooth, firm, strong plant.|||verticillium wilt race 1, fusarium wilt races 1 and 2, alternaria stem canker, gray leaf spot. 1990.|
Columbian (CVF 2721)|West Region Agric. Res. Sta., USDA.|various seedsmen.|open pollinated.|Roza and Rowpac.|intermountain western United States. 1976.|curly top and verticillium and fusarium wilts.|C5 x VF145-21-4.
Colusa (FM 48452)|Ferry-Morse.|Ferry-Morse.|square-round midseason processor, better yield potential, higher soluble solids, superior processing quality compared to MHVF 6203.|MHVF 6203. PVP. 1990.||fusarium wilt races 1 and 2, alternaria stem canker, verticillium wilt race 1.|
Condor (PSXP37191)|Petoseed.|Petoseed.|processor for mechanical or hand harvest, square-round fruit, good color, jointed, uniform green, medium size determinate plant.|Rio Grande type. 1986.||verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, alternaria stem canker, gray leaf spot, bacterial speck.|
