Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Conero (XPH 4012)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, medium maturity.|Montebianco.|wide. 1983.|none claimed.|
Tiber (XPH 4013)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, late maturity, tolerates low temperatures.|||none claimed. 1983.|
Tusco (XPH 4011)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, early maturing and uniform, no side shoot.|||none claimed. 1983.|
