Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Andover|University Minnesota, D. Davis.|||||brown canker.|
Fullback (St-12)|Dessert Seed Co.|Dessert Seed Co.|open pollinated, uniform short root with thick shoulder.|Short Thick.|wide. 1980.||selection out of Short Thick.
Smooth White|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|long tapering roots, 8-10'; very white parsnip. Ferry-Morse Seed Company Desc. List. 1950.|Long White Dutch.|||selection from Long White Dutch.
