Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Supergreen (NCX 5512)|Moran Seeds.|Moran Seeds.|F1 hybrid, gynoecious, slicer, uniform color gene, 7 x 2' fruit, small seed cavity, fruit holds well.|Dasher.|Mediterranean climates. 1982.|cucumber mosaic virus.|
Supersett|Petoseed.|Petoseed.|predominantly gynoecious hybrid slicer, fruit white spined, cylindrical, uniform dark green, 8.5 x 2.25' size, vine vigorous, 60 day maturity, excellent packout, high quality fruit.|||anthracnose race 2, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Sweet & Juicy|W. Atlee Burpee.|W. Atlee Burpee.|||||F1 hybrid. 1999.
Sweet Alphee|Sakata Seed.|Sakata Seed.|monoecious middle eastern slicer, mid early maturity, bright green fruit.|Beit Alpha.||downy mildew, powdery mildew, cucumber mosaic virus, squash mosaic virus, watermelon mosaic virus 2.|
Sweet Crunch|Sakata Seed.|Sakata Seed.|predominantly gynoecious middle eastern slicer, mid-early maturity, medium green fruit.|Beit Alpha, higher yield than Sweet Alphee in some areas.||downy mildew, powdery mildew, cucumber mosaic virus, squash mosaic virus, watermelon mosaic virus 2.|
Sweet Delight (ARCO 8)|ARCO Seed Co.|ARCO Seed Co.|F1 hybrid, white spined, burpless, slicer, 10-12' fruit length, thin skin, vines indeterminate.|Sweet Slice, Sweet Success.|home and truck gardens. 1983.|scab, cucumber mosaic virus, powdery mildew.|
Sweet Salad|Petoseed.|Petoseed.|monoecious hybrid slicer, moderate vigor, fruit sweet, slender, tapered, 12 x 2' size, 63 day maturity, crispy, excellent taste for home garden and fresh market.|||papaya ringspot virus, anthracnose, downy mildew, powdery mildew, cucumber mosaic virus. 1992.|
Sweet Slice (408)|Petoseed Co and Burpee Seed.|Petoseed Co and Burpee Seed.|hybrid slicer, strong vine, long, dark green fruit, few spines, sweet taste; synonym Sweet Slice Hybrid.|||cucumber mosaic virus, papaya ringspot virus, watermelon mosaic virus 2, zucchini ringspot virus, powdery mildew, downy mildew. Petoseed Company Catalog, 1973. 1973.|
Sweet Success|Petoseed.|Petoseed.|gynoecious hybrid slicer, white spined, fruit very long, straight, rounded at blossom end, medium green, smooth 12-14 x 2.25' size, 54 day maturity, parthenocarpic, market and home garden, AAS winner.||greenhouse.|scab, cucumber mosaic virus.|
Sweet Zena (SK3-402)|Sakata Seed.|Sakata Seed.|excellent Beit Alpha type cucumber.|||none listed. 1997.|F1 hybrid.
Sweeter Yet (PS 62995)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|slicing type; dark green Japanese burpless type, 7-7.5' x 2' fruit size, gynoecious, white spine, early maturity, good yield, good taste.|Sweet Success.|home garden; U.S. 2001.|watermelon mosaic virus, papaya ringspot virus; intermediate resistance to downy mildew, cucumber mosaic virus, zucchini yellow mosaic virus.|F1 hybrid.
Sweet'N Crunchy Hybrid|Burpee Seed.|Burpee Seed.|middle eastern hybrid slicer, dark green fruit, white spined, 7' fruit length.|Beit Alpha.||downy mildew, powdery mildew, cucumber mosaic virus.|
Sword (XPH 1699)|Asgrow.|Asgrow.|middle eastern, predominantly gynoecious hybrid slicer, fruit attractive, medium-dark-green, slender, L/D 3.8.|Beit Alpha. 1994.||scab, cucumber mosaic virus, anthracnose, powdery mildew, downy mildew, anthracnose.|
Tablegreen|Cornell University Ithaca, New York.|Cornell University Ithaca, New York.|straight, extremely dark green color.||Eastern United States. 1960.|cucumber mosaic virus, tolerance to powdery mildew.|(Niagara x Marketer) x [(Chinese Long x A&C) x Cubit].
Tablegreen 65|H. Munger, Cornell University.||monoecious inbred white spined, slicer, 8' fruit length.|||scab, cucumber mosaic virus, moderate to downy mildew, moderate to powdery mildew. 1965.|
Tablegreen 68|H. Munger, Cornell University.||gynoecious Tablegreen 65. 1968.||||
Tablegreen 72|H. Munger, Cornell University.||bitterfree Tablegreen 65. 1972.||||
Tablegreen 72 Bw|H. Munger, Cornell University.||bacterial wilt resistance backcrossed into Tablegreen 72. Short fruit and late maturity. For use as parent of hybrid. 1972.||||
Tablegreen 72F|H. Munger, Cornell University.||gynoecious Tablegreen 72. 1972.||||
Tablegreen 76|H. Munger, Cornell University.||high powdery mildew resistance backcrossed into Tablegreen 65. Has many traits of Marketmore 76 and Poinsett 76, but released later. 1996.||||
Tableslice|Abbott & Cobb.|Abbott & Cobb.|monoecious inbred slicer, 9' fruit length.|||downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Tailby's Hybrid (Bismarck, Improved Bismarck, New Orleans Market, Giant Tailby Hybrid, Tailby)|Joseph Tailby.||monoecious open pollinated slicer, fruit straight, very dark green, 8-9 x 2.5-2.75' size. 1872.||||
Talladega (PX 3502179)|Seminis Vegetable Seeds-Petoseed.|Seminis Vegetable Seeds-Petoseed.|early, productive gynoecious American slicing type with uniform dark smooth fruit and very few spines; strong plant; fruit at market stage are 20 cm x 6 cm; adaptable; no blossom end star or ridging.|General Lee, Stonewall.|NAFTA, southeast U.S. 2004.||F1 hybrid.
Tally (XP 1040)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, black spined, producing a high percentage of usable medium green fruit, L/D 3.0-3.2, blocky shape.|Bounty.|northern areas.|angular leaf spot, cucumber mosaic virus, scab, downy mildew.|
Tamara (FMX0100)|Ferry-Morse.|Ferry-Morse.|parthenocarpic, fruit shiny, 7-8' long.|Zaina.|greenhouse.||
Tamor (XPH 1225)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, pickler, very high ratio of female flowers.|Carolina. 1979.||scab.|
Target|Petoseed.|Petoseed.|predominantly gynoecious hybrid pickler, fruit white spined, L/D 3.1.|||anthracnose, angular leaf spot.|
Tasty Green (Burpless 26 Hybrid)|T. Sakata Co.|Geo. W. Park Seed Company and T. Sakata Co.|F1 hybrid, monoecious, early season, long slender fruit, excellent quality, burpless, fruits throughout the summer; oriental trellis type.|Sado Rishu.|northern America, Europe. 1966.|powdery mildew.|inbreds selected from domestic Japanese summer cucumber.
Tasty Jade||Johnny's Selected Seeds.|||||F1 hybrid. 1999.
Tempo (C589)|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, early. uniform. blunt ended. holds its firmness.|Calypso.|southern, northeastern United Sates. 1980.|scab; field tolerance to cucumber mosaic virus, angular leaf spot, mildews.|
Tenderfresh M.R.|Hazera Company, Haifa, Israel.|Hollar and Co.|hybrid, 90% female flowering, white spined, slicer, burpless, not bitter, tender white flesh, emerald-green skin color, heavy yield.||general to long season. 1974.|cucumber mosaic virus.|
Teton (XPH 1664)|Asgrow.|Asgrow.|monoecious hybrid pickler, developed as a pollenizer for gynoecious hybrids with short L/D, such as Vlasset or Fancipak.|Sumter. 1993.||cucumber mosaic virus, scab, angular leaf spot, downy mildew, powdery mildew, anthracnose.|
Tex Long (Texlong)||Nat. Seed Storage Lab.|monoecious inbred slicer, 68 day maturity, fruit dark green, 8-9' long.|||downy mildew, powdery mildew.|
Thunder (XPH 1700)|Asgrow.|Asgrow.|predominantly gynoecious hybrid slicer, vigorous vines, uniform fruit, early yield, white spined.|||scab, powdery mildew, downy mildew, anthracnose, cucumber mosaic virus, zucchini yellow mosaic virus. 1993.|
Thunderbird (PS 100395)|Ken Owens.|Seminis Vegetable Seeds-Petoseed.|American slicer, gynoecious, dark green fruit, strong vine with multiple virus and fungal disease resistance.||Mexico, Central America. 1999.|angular leafspot, anthracnose, powdery mildew, scab, CMV, WMV, PRSV, ZYMV.|F1 hybrid.
Tigris (ARCO 760)|ARCO Seed Co.|ARCO Seed Co.|F1 hybrid, white spined Beit Alpha type, indeterminate vines, good color and fruit length, mild flavor.||Middle East, home gardens in United States. 1985.|cucumber mosaic virus.|
Tiny Dill (NH PM-1)|New Hampshire Agric. Expt. Sta., Durham.|Farmer Seed and Nursery Co.|true breeding cultivar that sets up to 15 finger sized, white spined pickles at one time on a 2-foot bush or dwarf plant in 55 days from direct seeding.||northern United States.||Hardin's PG57 x Early Siberian) x Hardin's PG57.
Tirana (E2056)|Enza.|Enza.|gynoecious hybrid slicer.||greenhouse.|scab.|
TMG-1|R. Provvidenti, Cornell University.||monoecious inbred, selection from Taichung Mau Gua selection for use as a source of multiple virus resistance.|||cucumber mosaic virus, zucchini yellow mosaic virus, papaya ringspot virus, watermelon mosaic virus 2. 1985.|
Tokyo Long Green -||Similar:|vigorous vines, late maturity, L/D similar to American slicer, light green, tendency toward bitter fruit and internal fruit defects; used as parent of successful slicer hybrids.|Resistance: cucumber mosaic virus.||Parentage:|Parentage
Tomara|Nunhems Zaden.|Nunhems Zaden.|predominantly gynoecious hybrid.||greenhouse.|powdery mildew, scab, cucumber mosaic virus, moderate to downy mildew.|
Total Marketer Hybrid|Petoseed Company, Saticoy, California.||F1, top yielder, dark color.|Marketer. Petoseed, 1957. 1956.||downy mildew, cucumber mosaic virus.|
Transamerica (FMX 4639)|L. Gautney.|Ferry-Morse.|predominantly gynoecious hybrid pickler, dark green, blocky, medium long, white spined, performs well at high plant density, excellent brining, 50-52 day maturity.||U.S., Mexico. 1988.|anthracnose, angular leaf spot, cucumber mosaic virus, scab, powdery mildew, downy mildew.|
Triple Crown (FX 4153)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, white spined, pickler; good sex expression, fruit color, length, and yield.|TAMU Triple Cross.|Michigan, Wisconsin, North Carolina, California. 1979.|anthracnose. powdery mildew, cucumber mosaic virus, angular leaf spot, downy mildew.|
Triple Purpose|Guelph Ontario Agr. College, Guelph, Ontario, Canada and Petoseed Co.||F1, fruit up to 6' long, black spined, very productive, strong vigorous vines; use for pickle slices, chunks, and fresh slicing.||wide. 1965.|cucumber mosaic virus, downy mildew.|OAC female inbred and Petoseed Company male inbred.
Triple Threat (FMX 4446)|L. Gautney.|Ferry-Morse.|3-way hybrid gynoecious pickler, good fruit length, medium fruit color, good yielding, large vined type, 51-53 day maturity, L/D 3.0-3.2, straight, blocky, white spined, dark green, brines well.|||scab, cucumber mosaic virus, anthracnose, angular leaf spot. 1983.|
Triplecross|Texas A & M Univ.||3-way hybrid gynoecious pickler, white spined, L/D 3.1.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Triplemech (PSX 3674)|Petoseed Co.|Petoseed Co.|3-way hybrid gynoecious pickler, white spined, L/D 3.15, mechanical harvest.|Calypso.|wide. 1977.|anthracnose, angular leaf spot, powdery mildew, scab, cucumber mosaic virus.|
Trispear|Northrup King and Co.|Northrup King and Co.|F1 hybrid, Green Spear type but slightly shorter fruit.|Green Spear 14. 1976.||scab.|
Triumph (H-153)|Petoseed Co.|Petoseed Co.|F1, very straight, uniform, white spined, slicer, early, produces high yield of number one fruit, does not jumbo as rapidly as other hybrids, 1965 bronze medal winner (All America Selections).||wide. 1965.|cucumber mosaic virus, downy mildew; tolerance to powdery mildew.|Petoseed Company female inbred, male five generations from Cornell 48-208-1.
Tropicuke|Petoseed.|Petoseed.|gynoecious hybrid slicer, vigorous dark green plant, early maturity, begins production 60 days after emergence, fruit cylindrical, uniform dark green smooth, firm, creamy white flesh, crisp, flavorful.||wide, especially tropical and subtropical areas.|anthracnose race 2, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Turbo (PSX 34885)|Petoseed.|Petoseed.|gynoecious hybrid slicer, high yields, excellent quality fruit late in season, very vigorous plant, uniform very dark green skin, cylindrical, blocky, 9.25 x 2.25' size, small seedcell, high percent of super select grade fruit, excellent length.|||cucumber mosaic virus, powdery mildew, scab, downy mildew, anthracnose race 2, angular leaf spot. 1991.|
Ultra Pak||Stokes Seeds.|hybrid slicer, matures in 48 days, dark green fruit 8.5 x 2'.|||angular leaf spot, anthracnose, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Universal|Otis Twilley.|Abbott & Cobb.|monoecious hybrid slicer, smooth, uniform dark green fruit free of stippling.|Poinsett. 1982.||cucumber mosaic virus, scab, downy mildew, powdery mildew, angular leaf spot, anthracnose.|
Val-U-More (AC 110)|Abbott & Cobb.|Abbott & Cobb.|all-hybrid blend, good yield, 60 day maturity, white spined, slicer.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Vaughan (Longfellow)|Mr. Dilger, Chicago IL.|Nat. Seed Storage Lab.|open pollinated monoecious slicer, fruit straight, dark green, 12-14 x 2.75-3' fruit. 1920.||||
Vaughan's Hybrid|Vaughan's Seed Co., Downers Grove, Ill.||F1, very productive over long season, fruit long, thin, dark green.|Marketer Long. 1954.|||
Vero (PS 13292)|Seminis Vegetable Seeds-Petoseed.|Seminis Vegetable Seeds-Petoseed.|white spined, indeterminate vine for hand harvest, L/D approximately 3.25; very strong vined, dark green fruit, small seedcell.||California, Midwest and Northeast U.S., Mexico, Brazil. 2002.|anthracnose, downy mildew, scab, papaya ringspot, watermelon mosaic, zucchini yellow mosaic; intermediate to angular leafspot, powdery mildew, cucumber mosaic.|F1 hybrid.
Very Important Pickle (VIP)|Ferry-Morse.|Ferry-Morse.|3-way hybrid gynoecious pickler, white spined, L/D 2.9.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Vestervange||Nat. Seed Storage Lab.|monoecious inbred.||||
Victoria (Sun-3547)|Sunseeds.|Sunseeds.|monoecious hybrid pickler, white spined, 48 day maturity, slightly tapered fruit, good length.|||powdery mildew, downy mildew, scab, cucumber mosaic virus, papaya ringspot virus, watermelon mosaic virus, zucchini yellow mosaic virus.|
Victory|Petoseed.|Petoseed.|predominantly gynoecious hybrid slicer, white spined.|||anthracnose, scab, cucumber mosaic virus, moderate to angular leaf spot.|
VIP [E0208 (FX 4283]|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, white spined, pickler, good gynoecious stability, medium green color, good fruit length.|Carolina.|wide. 1981.|tolerance to scab, cucumber mosaic virus, powdery mildew, downy mildew, anthracnose, angular leaf spot.|
Vlaspik (XVC 2643)|G.E. Tolla.|Campbell (Vlasic), acquired by Asgrow.|predominantly gynoecious hybrid pickler, L/D 3.2, white spined.|Lafayette. 1994.|hand harvest in southern U.S., machine harvest in northern U.S.|anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Vlasset (XVC 2649)|G.E. Tolla.|Campbell (Vlasic), acquired by Asgrow.|predominantly gynoecious hybrid pickler, L/D 2.8, white spined.|Fancipak. 1994.|hand harvest in Mexico or northern U.S.|anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Vlasstar (XVC 10489)|G.E. Tolla.|Campbell (Vlasic), acquired by Asgrow.|predominantly gynoecious hybrid pickler, medium sized vine, L/D 3.0, white spined, fruit medium dark color.|Flurry. 1995.|hand harvest in Mexico or southern U.S.|powdery mildew, downy mildew, scab, cucumber mosaic virus, angular leaf spot.|
Volley (PS 20680)|Petoseed.|Petoseed.|predominantly gynoecious hybrid pickler, maturity 53 days, fruit dark green, L/D 2.95, white spined.|||scab, anthracnose, downy mildew, powdery mildew. 1985.|
Wautoma (WI 1902)|Wis-USDA.||monoecious inbred pickler, L/D 3.0, white spined.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus. 1985.|Gy 14 x WI 409M.
Wellington (PSX 10588)|Petoseed.|Petoseed.|predominantly gynoecious hybrid pickler, 49 day maturity, semi-determinate, white spined, fruit medium dark green.|||angular leaf spot, powdery mildew, downy mildew, cucumber mosaic virus, anthracnose race 2, scab. 1995.|
White German (Extra Long White, Giant White, Long Snow White, Long White, New Giant White, Panmure L|||monoecious open pollinated slicer, fruit straight, greenish white, 10-12 x 2.25-2.5' size. 1778.||||
White Lemon (Crystal Apple)||Nat. Seed Storage Lab.|hermaphroditic inbred, round white fruit with 5 carpels.|Lemon.|||
White Wonder (Albino, Ivory King, Jack Frost, Landreths White Slicing, White Albino)|Burpee.||monoecious inbred slicer, fruit oval, ivory white, 6-7 x 2.25-2.5' size, white spined. 1893.||||sent to Burpee in 1890 by customer.
WI 2757|Wis-USDA.||gynoecious inbred middle eastern slicer, parthenocarpic, delayed flowering, fruit non-warty, thin skinned, uniform dark green, L/D 3.0, white spined.|Beit Alpha. 1982.||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|WI 1589 x Expo S4.
Windermoor Wonder|Stokes Seed.|Stokes Seed.|monoecious inbred slicer, fruit dark green, 65 day maturity, white spined. 1916.||||
Wisconsin SMR 12|University of Wisconsin, Madison.|seed trade.||National Pickling.|northern pickle areas. Phytopathology 45:458, 1958. 1955.|cucumber mosaic virus, scab.|(Chicago Pickling x Maine 2) (China Long x National Pickling).
Wisconsin SMR 15|University of Wisconsin, Madison.|University of Wisconsin, Madison.|black spined, pickler, color and shape of fruit similar to National Pickling.||northern United States. Plant Dis. Rptr. 42:1337-1338, 1958.|scab, cucumber mosaic virus.|(Wisconsin SMR 12 x Ohio MR17) x Ohio MR25.
Wisconsin SMR 18|University of Wisconsin, Madison.|University of Wisconsin, Madison.|black-spine slender green fruit.|Ohio MR17.|northern United States. Plant Dis. Rptr. 42:1337-1338, 1958. 1959.|scab, cucumber mosaic virus.|Wisconsin SMR12 x Ohio MR17 (with at least one backcross to Ohio MR17).
Wisconsin SR 6|University of Wisconsin, Madison.||very similar in type to National Pickling.|National Pickling cultivar.|regionally the northern states. Phytopathology 43:215. 1953.|scab (Cladosporium cucumerinum).|National Pickling x Maine 2.
Woodruff Hybrid|Massachusetts.||monoecious slicer, fruit straight, dark green, 9-10 x 2.25-2.5' size.||||
Yankee|Dessert Seed Co.|Dessert Seed Co.|F1, intermediate vine, black spined, fruit.|Wisconsin SMR 18.|northern United States.|scab, cucumber mosaic virus.|MSU 713-5 x DWS 9-4.
Yellow Submarine (PS 23926)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|pickling type; very light green to yellow color, small seed cell, mid- to late maturity, sturdy plant.|Carnito.|home garden; U.S. 2001.||open pollinated.
Yorkstate Pickling|Cornell University, Ithaca, New York.||about two days later but otherwise hard to distinguish from National.|National Pickling. Farm.||cucumber mosaic virus.|(((Chinese Long x Early Russian) x National) x National) x National.
Zaap (PS 14792)|Al Burkett.|Seminis Vegetable Seeds, Petoseed Brand.|short vined, medium green fruit color, gynoecious, 2-3 pistillate flowers per node, for fresh market.||South America and midwestern U.S. 1998.|angular leafspot, anthracnose, powdery mildew, scab, CMV.|F1 hybrid.
Zaina (FMX5002)|Ferry-Morse.|Ferry-Morse.|parthenocarpic, middle eastern slicer, shiny, 7-8' fruit length.|Tamara, Beit Alpha.|greenhouse.||
Zapata (SXQ 2426)|Augie Gabert.|Sunseeds.|monoecious, white spined, pickling cucumber; cylindrical, dark green fruit on an indeterminate vine.|Eureka.|most pickle production areas, with emphasis on Mexico. 2000.|anthracnose, angular leafspot, downy mildew, powdery mildew, scab, CMV, PRSV, WMV, ZYMV.|F1 hybrid.
Zenith (FMX 4761)|Ferry-Morse.|Ferry-Morse.|predominantly gynoecious hybrid slicer, fruit very dark green, very straight, 7.5-8.5' length.|Dasher II.||scab, powdery mildew, downy mildew, tolerance to cucumber mosaic virus.|
Zeppelin|Van Der Ploeg.|Van Der Ploeg.|schalgurken type, monoecious, inbred, 14' fruit length.|Riesenschal.|||
Zesty (PSX 51083)|Petoseed.|Petoseed.|predominantly gynoecious, long fruited, L/D 3.4, suited for relish, spears or dual purpose slicer and pickler for home garden.|||scab. 1986.|
