Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
PS 3665 (PSX 3665)|Petoseed Co.||hybrid, white spined, pickler, dwarf compact vine, long L/D for mechanical harvest.||general. 1975.|downy mildew, powdery mildew.|
Quest (PSX 50885)|Petoseed.|Petoseed.|predominantly gynoecious hybrid pickler, 50 day maturity, vigorous vine, white spined, medium dark green fruit, excellent length for chips and relish, L/D 3.1, good concentration of long fruit for mechanical harvest.|||scab, angular leaf spot, downy mildew, powdery mildew, cucumber mosaic virus, anthracnose race 2. 1989.|
Quick Set|Sakata Seed.|Sakata Seed.|predominantly gynoecious hybrid slicer, vigorous, early, high yielding, recommended for growing in South America and Southern Europe, 8.5' fruit length.|||angular leaf spot, moderate to powdery mildew and cucumber mosaic virus.|
Radja (NUN 6235)|Nunhems Zaden.|Canners Seed.|gynoecious greenhouse slicer, suitable for rockwool and soil culture, well balanced open habit, excellent fruit quality and shelf life, fruit dark green, medium ribbed.|Corona. 1988.|||
Raider (G4U4)|Joseph Harris Co.|Joseph Harris Co.|early.|Poinsett.|wide.|scab, cucumber mosaic virus.|
Raleigh (G 56)|R.L. Lower, T.C. Wehner and S.F. Jenkins Jr., University of Wisconsin, Madison and North Carolina State University, Raleigh.||predominantly gynoecious pickling hybrid, dark green fruit, L/D 3.1, good processing quality.|Calypso.|wide. 1991.|scab, fusarium wilt, cucumber mosaic virus, downy mildew, powdery mildew, anthracnose, angular leaf spot.|Gy 4 x M 21.
Ranger (Hy 119)|Clemson University Agric. Expt. Sta., and Asgrow Seed Co.|Clemson University Agric. Expt. Sta., and Asgrow Seed Co.|hybrid, early, moderate vigorous vine, gynoecious, black spined, slightly higher L/D than Pioneer.|Pioneer. 1970.||scab, cucumber mosaic virus; moderate resistance downy mildew, anthracnose, angular leaf spot.|MSU 713-5 x Chipper.
Rebel|Dessert Seed Co.|Dessert Seed Co.|F1, gynoecious hybrid, short vine, white spined.|Model.|southern United States.|powdery mildew, downy mildew, anthracnose, angular leaf spot, cucumber mosaic virus.|Gy3 x DWS 12-3.
Redlands Long White|Redlands Hort. Stn., Australia.||monoecious slicer, vigorous, white skinned, long fruited, high yield, high fruit quality.|Green Gem, Sprint, Crystal Apple. 1985.||watermelon mosaic virus.|
Regal (G 29)|R.L. Lower, North Carolina State University, Raleigh.|Joseph Harris Co.|semi-dwarf, predominantly gynoecious hybrid, fruit longer than Calypso, excellent for making chips and spears, good for high density once-over harvest.|Calypso.|wide. 1978.|scab, field resistance to anthracnose, angular leaf spot, downy mildew, powdery mildew, cucumber mosaic virus.|Gy 14A x M 21.
Reia (XPH 1698)|Asgrow.|Asgrow.|middle eastern slicer hybrid, wide disease resistance.|Beit Alpha. 1993.||scab, cucumber mosaic virus, angular leaf spot, anthracnose, cucumber mosaic virus, powdery mildew.|
Revenue (E0211)|L. Gautney.|Ferry-Morse.|predominantly gynoecious hybrid slicer, for market and home garden, better color and fruit length than Cypress, 66-68 day maturity, high yield, uniform dark green fruit.|Cypress, Raider, Sprint. 1982.|||
Riesenschal|Royal Sluis.|Royal Sluis.|schalgurken type, monoecious, inbred, 14' fruit length.|Carnimus.|||
Roadside Market Wonder|Grand Junction.||monoecious slicer, fruit slightly curved, moderate dark green, 10-12 x 2.25-2.75' size. 1927.||||
Robin 50|Niagara.|Nat. Seed Storage Lab.|monoecious inbred.||||
Rock|Hollar and Co.|Hollar and Co.|F1 hybrid, parthenocarpic for plastic tunnel or greenhouse production, 12-15 cm fruit length, gynoecious.|Arabelle, Marbosan. 1983.|||
Rodeo|Enza Zaden. 1999.||||||
Royal (HM 77614)|Harris Moran.|Harris Moran.|predominantly gynoecious hybrid pickler, fruit dark green, cylindrical, short vines, seeds slow to develop, L/D 3.0-3.2.|Regal.||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Sabal|Wis-USDA.||predominantly gynoecious hybrid pickler, white spined, L/D 2.9.|Endeavor. 1985.||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|WI 2238G x WI 1983A.
Salad (White)|Mrs. T.P. Mony, California.||monoecious slicer, fruit straight, pale greenish yellow to lemon yellow to bright yellow, 6-7 x 2-2.25' size. 1924.||||
Salad Bar (NVH 2100)|Northrup King.|Northrup King.|predominantly gynoecious hybrid slicer, commercial fresh market, 57 day maturity, white spined, uniform green color, 8' x 2' fruit, slight taper, medium sized vines.|Dasher, Slicemaster, Sprint. 1982.||cucumber mosaic virus, scab, angular leaf spot, anthracnose, powdery mildew, downy mildew.|
Salad Bush|Petoseed.|Petoseed.|dwarf determinate vine, monoecious slicer, 57 day maturity, cylindrical uniform dark green fruit, 8 x 2.25' fruit, AAS winner.||home garden. 1988.|cucumber mosaic virus, scab, target leaf spot.|
Saladeer|Lawrence Robinson and Sons, Modesto, California.|Lawrence Robinson and Sons, Modesto, California.|F1, good all way to blossom end. Fine shipper.|Ashley.|wide. S.R.S. Growers Guide, 1959. 1954.|downy mildew, cucumber mosaic virus.|closed.
Saladin|Sluis and Groot.|Sluis and Groot.|predominantly gynoecious hybrid pickler, L/D 2.8, white spined.|||powdery mildew, scab, moderate cucumber mosaic virus.|
Salty (3659)|Petoseed Co.|Petoseed Co.|hybrid, white spined, dark green fruit, L/D 2.8.|SMR 58 (in shape), Pioneer (in color).|general. Petoseed Company Catalog, 1973. 1972.|scab, tolerance to powdery mildew, cucumber mosaic virus.|
|Petoseed.|Petoseed.|predominantly gynoecious hybrid pickler, black spined.|||scab, cucumber mosaic virus.|
Sampson (MH 28)|R.L. Lower, North Carolina State University, Raleigh.|Petoseed.|F1 hybrid, monoecious pickler, white spined, uniform medium dark green fruit, L/D 3.0, excellent processing quality, suitable for multiple mechanical harvest.||wide. 1975.|powdery mildew, anthracnose, angular leaf spot.|M11 (Addis) x M41.
Santee|Clemson College Truck Expt. Sta., Charleston, South Carolina.||early, long, dark green fruit.||regionally southeastern United States for the spring crop. Southern Seedsman. 1951.|downy mildew.|Cubit and Puerto Rico 40.
Sassy (HMX 9465)|Gary Taurick.|Harris Moran.|pickling type; dark green indeterminate vines; fruit with small seedcell; 3.3 L/D ratio.||U.S. 2003.||F1 hybrid.
Saticoy Hybrid (H-152)|Petoseed Company, Saticoy, California.|Petoseed Company, Saticoy, California.|F1, dark green, slicer.||United States, southern Canada. The Petoseed Story, Petoseed Co. 1961.|downy mildew, cucumber mosaic virus.|Petoseed Company inbreds.
